Kids_First_Biospecimen_ID	sample_id	tumor_fraction
BS_M9C4RY4P	7316-1987	0.687535706
BS_MA1A3GY0	7316-474	1
BS_MA2T7ET1	7316-3516	0.849223345
BS_MB7WN0ZB	7316-1102	0.042248083
BS_MBSTWZA6	7316-3555	1
BS_MD3DT41J	7316-3336	0.083068903
BS_MDBT7S5Z	7316-3771	0.916794668
BS_MF47B9ZW	7316-1114	1
BS_MF9X3PKH	7316-2572	0.204999402
BS_MGAMKKBD	7316-2653	1
BS_MKP2Y41Z	7316-892	1
BS_MM20BVW9	7316-2142	0.851970274
BS_MMNRZ1EQ	7316-2141	0.761468261
BS_MQCKXD60	7316-2285	0.804176417
BS_MT15SGJN	7316-292	0.281811968
BS_MV6ASWV9	7316-1790	0.68848804
BS_MWWZBQ60	7316-2756	0.778723513
BS_N0877CX1	7316-820	1
BS_N1E0H8YQ	7316-891	0.319586813
BS_N4B1SZZH	7316-521	0.367794794
BS_N5B2CZMH	7316-2984	0.567143617
BS_N5DVEJXT	7316-2156	0.728761978
BS_N6NE6B3W	7316-1679	1
BS_N8J1DP02	7316-1641	0.678287844
BS_NB42PWZN	7316-365	0.939455179
BS_NB5XWMJT	7316-346	1
BS_NDC69214	7316-1757	1
BS_NDFDQBCZ	7316-2614	1
BS_NDN62H0S	7316-1960	0.897680724
BS_NFRXNAFE	7316-3147	0.42696901
BS_NGHK9RZP	7316-3631	0.680059598
BS_NGY0TE6S	7316-380	1
BS_NH7K4CD9	7316-2109	0.868238847
BS_NJ4WPQVK	7316-349	0.600663498
BS_NPQJ20KX	7316-1711	1
BS_NQB91P48	7316-127	0.730086549
BS_NR3P3GN2	7316-3935	0.352670785
BS_NR9FRY5T	7316-147	1
BS_NRFQEQKP	7316-20	1
BS_NRPG5K4K	7316-2744	1
BS_NS7GSHB9	7316-2275	0.738739053
BS_NT9NZYFD	7316-3572	0.237532621
BS_NVKGSMXS	7316-172	1
BS_NYS8TRCB	7316-397	1
BS_NZ71XCG3	7316-3846	0.635134059
BS_P0QF87WC	7316-2737	0.736531799
BS_P0W5VJH4	7316-408	1
BS_P277RYX5	7316-2680	0.663195558
BS_P39SQPTS	7316-447	0.327485591
BS_P4D8Y3S8	7316-1101	1
BS_P4NX9MPA	7316-51	0.357866811
BS_P78SMRBS	7316-966	0.791140512
BS_P7EY9DXG	7316-2224	0.191426995
BS_PEP9NZXN	7316-2755	0.631694756
BS_PK18H7E7	7316-399	0.839347657
BS_PKK3BZRG	7316-220	0.961792485
BS_PKW05VZV	7316-325	1
BS_PN2CE34A	7316-2591	1
BS_PQ6QEVE8	7316-156	0.39363748
BS_PQ7CQFYR	7316-905	0.403759537
BS_PRAEF32W	7316-2609	1
BS_PSNBFWQV	7316-128	0.273654737
BS_PSW27ZTE	7316-889	0.478073555
BS_Q2T9ZRM0	7316-2071	0.279958941
BS_Q3TBCK4V	7316-2669	0.805504484
BS_Q5WZYWCT	7316-2972	0.810762288
BS_Q79NP5YY	7316-733	1
BS_Q9V7A95C	7316-1968	0.380736637
BS_QAG1RDXN	7316-1890	0.202991192
BS_QBR4WCQ2	7316-2569	0.597019303
BS_QC3XCE6X	7316-1086	1
BS_QF5VVZX5	7316-2005	0.620170612
BS_QH82PBMB	7316-222	0.61892419
BS_QHS3V0GP	7316-3844	0.92552189
BS_QSTAVWGE	7316-929	0.928225602
BS_QT3NZ2YZ	7316-3689	0.930979126
BS_QTSXW7DA	7316-3323	1
BS_QV51J756	7316-101	1
BS_QW60M0FE	7316-331	0.592049018
BS_QWNBZ9RJ	7316-272	0.328184802
BS_QWTE1CWR	7316-3022	0.396960125
BS_QX12J6W1	7316-3937	1
BS_QZFEB94Q	7316-355	1
BS_R244Z0WX	7316-1953	1
BS_R439VVPK	7316-3576	0.920748673
BS_R4Y180DM	7316-1079	0.347368451
BS_R634WKN7	7316-1681	0.741499581
BS_R6WNEEE4	7316-2865	0.309035223
BS_R7HZCZ8B	7316-2158	0.469428249
BS_RB2S0KDF	7316-263	0.733785097
BS_RCC8BXVE	7316-3138	1
BS_RCFQ31XF	7316-873	1
BS_RD4D5F9F	7316-1650	0.396313909
BS_RFMQ7T0T	7316-3071	0.938506316
BS_RGSMX7QD	7316-1952	0.567931721
BS_RHD7XPNP	7316-2267	0.876941021
BS_RQSKD7PN	7316-3066	0.328150213
BS_RRAEQZ97	7316-207	1
BS_RVSEDNJ4	7316-2300	0.88347814
BS_RWJZFTP9	7316-1805	0.739107929
BS_RXN5T5YT	7316-116	0.689194982
BS_S0175QKX	7316-1706	1
BS_S1KK7XRH	7316-938	0.248728052
BS_S1M423AB	7316-2893	0.471255099
BS_S458NMKH	7316-442	0.758099824
BS_S4V9E1XJ	7316-2193	1
BS_S50KQEXV	7316-2172	1
BS_S5P8VTN5	7316-903	0.634148446
BS_S6NJRR5W	7316-3513	1
BS_S6S7SK3P	7316-2554	0.722319219
BS_S71RJ8DH	7316-3890	0.946911424
BS_S9929Z8B	7316-2216	1
BS_SAA624A4	7316-2144	0.92716271
BS_SBFNFZ8B	7316-1076	1
BS_SDA4RMMG	7316-1134	0.73307834
BS_SDCNP7MW	7316-2648	0.482245949
BS_SDZY6RZ3	7316-168	0.325341856
BS_SES41DAX	7316-3485	1
BS_SFRQXM76	7316-2271	0.760489034
BS_SHMC4902	7316-400	1
BS_SM8VQFPD	7316-3936	0.841275081
BS_SQX5E15Z	7316-2725	0.319920932
BS_SXCZ3CXN	7316-505	0.816837074
BS_SXRS2P6T	7316-1978	0.78386786
BS_T1DVKKJB	7316-2959	0.398503618
BS_T1QMEH1N	7316-188	0.335412077
BS_T1W4JA94	7316-297	0.579582959
BS_T2QPMZCM	7316-2174	1
BS_T3H5AY8A	7316-350	1
BS_T4JFN54G	7316-957	0.632843313
BS_T4P3J13C	7316-749	1
BS_T55Y4Z0Y	7316-1095	1
BS_TA9WP4TH	7316-1802	0.843337499
BS_TAHV8N04	7316-216	1
BS_TBWYAFSM	7316-2170	0.472434179
BS_TCGEZJ5F	7316-2106	0.964560508
BS_TDEFAPNH	7316-1093	1
BS_TE0GVDNG	7316-1700	0.539330638
BS_TG93XC55	7316-321	1
BS_TGW6HC4X	7316-280	1
BS_THSPSG2Z	7316-1986	0.248166203
BS_TJTEF70D	7316-895	0.82320225
BS_TK84K675	7316-2751	0.571863912
BS_TM9MH0RP	7316-1937	0.780599844
BS_TMTV769C	7316-449	0.740059659
BS_TNRHHYNC	7316-2138	0.613834484
BS_TRKH2SPE	7316-461	0.791845167
BS_TXY8QYWA	7316-1806	1
BS_TYAYZ9ZW	7316-3192	0.703470776
BS_TYKJ8G2G	7316-30	0.049227391
BS_TZ5D0A7R	7316-3755	0.219007457
BS_TZVFR600	7316-2107	0.82971371
BS_V0Q1G94N	7316-485	1
BS_V3REENH9	7316-2566	0.113284885
BS_V3Z3DB4N	7316-3765	0.65112338300000006
BS_V4W81SFC	7316-2079	0.08535448
BS_V72GX2AZ	7316-472	1
BS_V72H4RQS	7316-2309	0.929363881
BS_V89HGTET	7316-2197	0.414403332
