Kids_First_Biospecimen_ID,gene,mutations
BS_02YBZSBY,C11orf21,1
BS_02YBZSBY,C11orf68,1
BS_02YBZSBY,C11orf87,1
BS_02YBZSBY,C12orf29,1
BS_02YBZSBY,C12orf49,1
BS_02YBZSBY,C12orf54,1
BS_02YBZSBY,C13orf42,1
BS_02YBZSBY,C14orf177,2
BS_02YBZSBY,C14orf93,2
BS_02YBZSBY,C15orf39,3
BS_02YBZSBY,C15orf59,2
BS_02YBZSBY,C16orf71,2
BS_02YBZSBY,C16orf78,1
BS_02YBZSBY,C16orf95,1
BS_02YBZSBY,C17orf47,1
BS_02YBZSBY,C17orf53,1
BS_02YBZSBY,C17orf58,1
BS_02YBZSBY,C17orf64,1
BS_02YBZSBY,C17orf99,1
BS_02YBZSBY,C19orf24,1
BS_02YBZSBY,C19orf38,1
BS_02YBZSBY,C19orf44,1
BS_02YBZSBY,C19orf57,1
BS_02YBZSBY,C19orf81,1
BS_02YBZSBY,C1orf112,1
BS_02YBZSBY,C1orf116,2
BS_02YBZSBY,C1orf127,2
BS_02YBZSBY,C1orf141,1
BS_02YBZSBY,C1orf159,1
BS_02YBZSBY,C1orf185,1
BS_02YBZSBY,C1orf194,1
