gene1,gene2,mut11,mut10,mut01,mut00,odds_ratio,cooccur_sign,odds_ratio_ci,p,q,cooccur_score,n_mutated_gene1,n_mutated_gene2,perc_mutated_gene1,perc_mutated_gene2,perc_cooccur,perc_mutexcl,mut1,mut2,label1,label2
STAG2,KDM6A,1,8,8,651,10.171875,1,"1.13534197460811,91.1329302797418",0.11558078828896341,0.15440181641655418,0.9371143478660062,9,9,1.347305389221557,1.347305389221557,5.882352941176471,94.11764705882354,9,9,STAG2 (9),KDM6A (9)
STAG2,KRAS,0,9,9,650,0,-1,"0,66.4945532866584",1,1,0,9,9,1.347305389221557,1.347305389221557,0,100,9,9,STAG2 (9),KRAS (9)
STAG2,KIAA1549,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,STAG2 (9),KIAA1549 (8)
STAG2,PCLO,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,STAG2 (9),PCLO (8)
STAG2,CCDC168,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,STAG2 (9),CCDC168 (8)
STAG2,DNHD1,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,STAG2 (9),DNHD1 (8)
STAG2,MAGEL2,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,STAG2 (9),MAGEL2 (8)
STAG2,COL4A3,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,STAG2 (9),COL4A3 (8)
STAG2,IGSF10,1,8,7,652,11.642857142857142,1,"1.27943017551643,105.950387166899",0.10335379457867266,0.1405198649932009,0.9856735738569518,9,8,1.347305389221557,1.1976047904191616,6.25,93.75,9,8,STAG2 (9),IGSF10 (8)
STAG2,PIK3R1,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,STAG2 (9),PIK3R1 (8)
STAG2,PRKDC,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),PRKDC (7)
STAG2,ADGRV1,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),ADGRV1 (7)
STAG2,KIAA1109,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),KIAA1109 (7)
STAG2,LRP1,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),LRP1 (7)
STAG2,MUC5AC,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),MUC5AC (7)
STAG2,MYH14,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),MYH14 (7)
STAG2,RP1L1,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),RP1L1 (7)
STAG2,CELSR1,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),CELSR1 (7)
STAG2,CENPF,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),CENPF (7)
