Kids_First_Biospecimen_ID,tp53_score,tp53_expression,tp53_altered,altered_counts
BS_94MT16N2,0.29460668672152707,9.47,other,866
BS_9755PSCS,0.9644012034089607,26.69,other,866
BS_97M1E2DW,0.7453709872158909,25.18,other,866
BS_983Z6CA6,0.4619173257546133,16.43,other,866
BS_996ZS2A4,0.3213856159528848,36.73,other,866
BS_99B1XRZQ,0.6962712883246436,39.85,other,866
BS_9BJARSX3,0.0551100355873166,37.55,other,866
BS_9CA93S6D,0.7163966749067535,24.75,other,866
BS_9DFBHHB5,0.2819565418595151,25.96,other,866
BS_9DZ253JY,0.550319053234436,0.74,other,866
BS_9E7YVFJM,0.503127667848048,23.67,other,866
BS_9F09XV62,0.6435709653552256,14.12,other,866
BS_9FHSNVS0,0.46419592791162034,63.39,other,866
BS_9G69F50J,0.5803870617878656,25.61,other,866
BS_9GJ23RHH,0.8816943575555782,14.23,lost,100
BS_9HA238XS,0.24918841283972587,21.88,other,866
BS_9HSGV9TJ,0.039735101673751855,21.7,other,866
BS_9M5XJ10G,0.8539634048386907,8.14,other,866
BS_9NJHQE9F,0.7682431609872251,15.57,other,866
BS_9NZ2D6AD,0.8998198340416159,17.78,lost,100
BS_9P9MB8X8,0.021354615851838777,32.24,other,866
BS_9PB3XH5D,0.7037050026503102,12.61,lost,100
BS_9Q6Z6VJC,0.45177431765126635,13.08,other,866
BS_9RT63JD9,0.8920437308131758,16.07,other,866
BS_9SJWWYQ4,0.5134333022502152,7.71,other,866
BS_9V633J1X,0.8120041884809821,13.52,lost,100
BS_9XVACXP0,0.43984316494467857,34.04,other,866
BS_9XWJ88Q1,0.14911088107898426,20.07,other,866
BS_A0DYVX9J,0.9292302676840811,32.6,lost,100
BS_A13BMEF5,0.4075306371079235,11.83,other,866
BS_A14Z8BBK,0.8530504477619166,8.99,other,866
BS_A1VEGWTR,0.37571643436409374,10.28,other,866
BS_A3QZB9Y2,0.32396022076850206,33.7,lost,100
BS_A46RDWGM,0.4969504792064082,8.28,other,866
BS_A7MC2KR2,0.42303288852639126,27.79,other,866
BS_A7Q8G0Y1,0.8831681544270128,14.31,lost,100
BS_A87NPZAP,0.7624306451292374,4.29,lost,100
BS_A89VAPVV,0.5875433478820805,38.67,other,866
BS_AA164D3A,0.5582299270896878,20.49,other,866
BS_ABYF92Z9,0.4742734262134119,20.12,other,866
BS_AD4JPN9Q,0.6125988516254534,20.82,other,866
BS_AG3D3435,0.37396371307817866,13.37,other,866
BS_AG4H9S3J,0.662051800381345,27.99,other,866
BS_AGS1HHGF,0.3987766182818295,20.27,other,866
BS_AGTPCRR4,0.6152313486488936,18.94,other,866
BS_AHEFXG7W,0.8852811526390362,15.42,lost,100
BS_AJ6X83G5,0.6964389250221542,3.81,other,866
BS_AKRHBPNZ,0.1747812444265611,13.84,other,866
BS_AM70R8RG,0.855907644757014,43.15,other,866
BS_AMQGM1V9,0.6988907221196351,6.37,other,866
BS_AMZ70B6F,0.7681870483831391,32.9,other,866
BS_AP0SZ364,0.3657895463980342,18.3,other,866
BS_ARBQDTT5,0.1757767045267001,9.67,other,866
BS_ARFQ1WG3,0.4050269561539876,6.53,other,866
BS_AVYNZHSB,0.27938302627192096,18.6,other,866
BS_AWH9757B,0.6358756457981722,23.83,other,866
BS_AZN38B7V,0.19584030409644154,21.8,other,866
BS_B0SVFK4P,0.3402486899114051,21.52,other,866
BS_B1C6GZ84,0.9571501223329205,11.91,other,866
BS_B1HVNV0T,0.6640434345949187,5.09,other,866
BS_B24PKKQB,0.7337478772198334,20.71,other,866
BS_B3M5SGPA,0.05225964723218973,66.51,other,866
BS_B53Z0T1Q,0.5802008232659168,25.8,other,866
BS_B61168DE,0.1020120274299852,27.07,other,866
BS_B6M763JS,0.22571344482254668,14.9,other,866
BS_B741RZY9,0.10316484171741323,9.44,other,866
BS_B7GEH89C,0.3541743466204179,17.09,other,866
BS_B7QS4DHK,0.18145826216834976,20.43,other,866
BS_B7X8VXQ3,0.46370068898115185,12.56,other,866
BS_B8T7M0WV,0.6849098169714746,4.8,other,866
BS_B9V8RGTA,0.9611166801263371,56.03,activated,11
BS_BA6AZWB3,0.74070094181302,26.91,other,866
BS_BB0YW800,0.4523306793038497,12.26,other,866
BS_BC936YNZ,0.3877843902519725,12.74,other,866
BS_BHR08WGW,0.4084372313099724,27.97,other,866
BS_BJDNWMJH,0.23751821557027056,27.8,other,866
BS_BKQZ550R,0.23793827133517587,20.49,other,866
BS_BKR4E30C,0.6471436941323984,15.8,other,866
BS_BN986DF6,0.4662914941289125,16.57,other,866
BS_BPSTSCBJ,0.3489461419759274,17.11,other,866
BS_BPWEFR89,0.7220484682060722,56.4,other,866
BS_BSV07M7Z,0.7595684081224983,9.1,lost,100
BS_BVSW4GTG,0.8066341803843022,46.82,other,866
BS_BWBDH9GM,0.7864010409638773,9.78,lost,100
BS_BXXJ9P8C,0.1360059338918668,18.68,other,866
BS_C05FKR8X,0.3236896510657173,50.94,other,866
BS_C0XFDP38,0.4005904833020393,19.67,other,866
BS_C3P5BC92,0.39363485996845066,22.15,other,866
BS_C41DJZ1F,0.44278315076999947,17.73,other,866
BS_C51RB0YR,0.0507967825327721,23.12,other,866
BS_C6SKJG3N,0.41693238375008296,15.24,other,866
BS_C6ZZ3FY5,0.7137495389663795,8.01,lost,100
BS_C7A2TYAC,0.3310800637891338,12.39,other,866
BS_C7N3J4NW,0.6334296906378755,4.61,lost,100
BS_C80S5N37,0.61734985497005,18.99,other,866
BS_CB6VK7PB,0.2749750951752351,26.11,other,866
BS_CGB2WS2A,0.5717500162467918,7.06,other,866
BS_CHDGRYHJ,0.5687564890588488,9.97,other,866
BS_CQEETJ66,0.4049646637257729,14.02,other,866
BS_CQSAJ7BF,0.6012019571271499,6.39,other,866
BS_CREQ97QC,0.5975774321382917,6.66,other,866
BS_CS170P7T,0.17983886462782459,17.27,other,866
BS_CS66RYDA,0.15623435018447138,22.05,other,866
BS_CTR5X93B,0.3797367320157301,8.55,other,866
BS_CVGFNCBJ,0.5216528595761849,9.01,other,866
BS_CW9QV8AG,0.7041597498852116,5.9,other,866
BS_CXVGG342,0.7915678476786698,21.65,lost,100
BS_CXVJK2FY,0.4446608903288143,19.01,other,866
BS_CYEY58NY,0.6272595069557403,23.3,other,866
BS_CZ3ER8DY,0.20224792268320474,11.93,other,866
BS_CZ3NA7KV,0.3204244203688765,14.93,other,866
BS_CZ82ANWP,0.5947221022062112,12.1,other,866
BS_D0BGESQF,0.23669656203247286,7.89,other,866
BS_D0RDN4K5,0.2153704214368616,25.03,other,866
BS_D144EJRQ,0.8977062042030178,16.57,lost,100
BS_D29RPBSZ,0.8367764960063745,12.66,activated,11
BS_D2K9C7XR,0.7085177182918336,9.9,lost,100
BS_D3YBV7KB,0.14267081348285793,19.01,other,866
BS_D4PJYHZ2,0.38249367970184506,10.21,other,866
BS_D5NQV7N5,0.4446185181511414,7.27,other,866
BS_D5P6EZ1M,0.22407198795008093,19.77,other,866
BS_D7XRFE0R,0.9626610684176685,38.69,lost,100
BS_D8N31T39,0.3332583290333675,84.58,other,866
BS_D9GEXXHX,0.20758031919155256,26.77,other,866
BS_DBDXCXT5,0.3904384532210847,7.89,other,866
BS_DBEX7AG2,0.12680016277772774,39.61,other,866
BS_DEHJF4C7,0.09144415074350412,28.93,other,866
BS_DFGS950G,0.8458032797348914,20.49,other,866
BS_DFWFBYSN,0.8317303234958774,7.92,lost,100
BS_DGTPWJ59,0.43769412184175926,13.82,other,866
BS_DHA5FMVW,0.0981113498620198,41.63,other,866
BS_DMZP9G1H,0.5069058193253078,6.78,other,866
BS_DPF1CX0G,0.31899866657099396,6.56,other,866
BS_DRD9QXR5,0.5700059544498715,11.93,other,866
BS_DRY58DTF,0.6103712256539264,18.53,lost,100
BS_DS438CXE,0.5255324235294266,34.01,other,866
BS_DSS3S5XD,0.2888758658895663,25.49,other,866
BS_DV86M0Y7,0.31661040491016734,13.77,other,866
BS_DVCQ8XDZ,0.6106339806350927,6.59,other,866
BS_DY88N5ZT,0.3944032285725833,35.34,other,866
BS_DY9NTFQR,0.3698796344749465,4.29,other,866
BS_E054DFJN,0.58042904094907,20.74,other,866
BS_E0N3PTPN,0.35566276919001505,13.93,other,866
BS_E1CGF3KV,0.25619966950521805,13.17,other,866
BS_E2Z940S4,0.13695736976484688,19.05,other,866
BS_E3BAT4C1,0.5897213835183907,25.23,other,866
BS_E3EJHXQV,0.22278779617892622,36.15,other,866
BS_E4F1D721,0.25642687647830725,19.12,other,866
BS_E4GC9EXR,0.17956348220010246,18.73,other,866
BS_E4QK839R,0.9077460007549469,6.22,lost,100
BS_E60JZ9Z3,0.903330102831969,8.29,lost,100
BS_E94QRJDW,0.3071774576476297,29.54,other,866
BS_EBMCTR80,0.1351641950938897,22.06,other,866
BS_EF775B3K,0.57724115224988,7.76,other,866
BS_EFE4YEK3,0.7584481543334167,5.66,lost,100
BS_EFEZB0ZH,0.42436067861200394,19.43,other,866
BS_EHVYJAVA,0.4836380274812912,7.09,other,866
BS_EJ9JKM1C,0.27538530702594266,20.27,other,866
BS_EK5PCKY0,0.3631371644099248,7.9,other,866
BS_EMMF4PZX,0.4578159770082783,15.39,other,866
BS_EMYET8F4,0.771767477252542,32.83,other,866
BS_EN2VK7NY,0.37435814593872574,23.67,other,866
BS_ENKG5GF3,0.4530361367053193,32.53,other,866
BS_ERJAJ0KA,0.6007176573013266,12.68,other,866
BS_ERWT0ZWE,0.7152667614777147,12.31,other,866
BS_ET8CJXSF,0.48072145839547237,5.94,other,866
BS_EVCAC3NH,0.6105114123365493,15.41,other,866
BS_EXGBH3TD,0.029221512858402552,14.42,other,866
BS_EXYHZ6D4,0.48166812612389004,6.3,other,866
BS_EYSS0ZDS,0.39755547359848115,27.22,other,866
BS_EYYMKWB7,0.3108331467008804,16.66,other,866
BS_F4E8R9VY,0.1990822522972482,33.9,other,866
