sample_id	aliquot_id	parental_aliquot_id	extraction_type
7316-3768	728250	725632	Same extraction
7316-3769	728271	725895	Same extraction
7316-377	588293	580766	Same extraction
7316-3771	728245	725627	Same extraction
7316-3773	717191	677120	Same extraction
7316-3774	728246	725628	Same extraction
7316-3775	711757	677369	Same extraction
7316-3776	739992	677492	Same extraction
7316-38	564486	561564	Same extraction
7316-380	573168	571292	Same extraction
7316-3809	724081	723251	Same extraction
7316-381	746070	534725	Same extraction
7316-3817	724088	723258	Same extraction
7316-382	588337	582982	Same extraction
7316-384	549606	475809	Same extraction
7316-3844	728262	725683	Same extraction
7316-3846	728263	725684	Same extraction
7316-3856	724082	723252	Same extraction
7316-3857	724083	723253	Same extraction
7316-386	549563	447478	Same extraction
7316-387	711730	667628	Same extraction
7316-388	398449	Not found	NA
7316-389	588295	580770	Same extraction
7316-3890	724085	723255	Same extraction
7316-3891	724086	723256	Same extraction
7316-3892	724087	723257	Same extraction
7316-3893	728258	725588	Same extraction
7316-39	739964	581552	Same extraction
7316-390	588438	585469	Same extraction
7316-391	549604	468962	Same extraction
7316-3917	728265	725687	Same extraction
7316-3919	728266	725688	Same extraction
7316-392	401743	Not found	Same extraction
7316-3922	728268	725690	Same extraction
7316-3923	728269	725892	Same extraction
7316-393	588332	582977	Same extraction
7316-3935	724105	723831	Same extraction
7316-3936	724106	723832	Same extraction
7316-3937	724107	723833	Same extraction
7316-394	549591	468963	Same extraction
7316-395	739961	705323	Same tissue aliquot
7316-3963	734537	733618	Different tissue aliquot
7316-397	588320	582347	Same extraction
7316-398	570104	562048	Same extraction
7316-399	588294	580769	Same extraction
7316-400	588331	582976	Same extraction
7316-4028	724089	723259	Same extraction
7316-4033	724099	723514	Same extraction
7316-4034	724100	723515	Same extraction
7316-4035	724108	723835	Same extraction
7316-405	728293	727871	Same extraction
7316-406	571403	568277	Same extraction
7316-4062	728270	725894	Same extraction
7316-407	588283	578422	Same extraction
7316-408	739947	568271	Same extraction
7316-409	398448	Not found	Same tissue aliquot
7316-41	549586	468271	Same tissue aliquot
7316-423	470419	455920	Same extraction
7316-425	470441	456742	Same extraction
7316-429	570127	566829	Same extraction
7316-430	470019	415509	Same extraction
7316-431	570128	566830	Same extraction
7316-4341	734538	733619	Same extraction
7316-435	549589	467898	Same extraction
7316-436	564451	554625	Same extraction
7316-437	731868	728666	Same extraction
7316-438	588284	578423	Same extraction
7316-440	746066	551468	Same extraction
7316-441	588439	585470	Same extraction
7316-442	549597	470153	Same extraction
7316-443	571398	568272	Same extraction
7316-445	401741	Not found	Same tissue aliquot
7316-447	588300	581279	Same extraction
7316-448	571402	568276	Same extraction
7316-449	564468	559568	Same extraction
7316-451	571397	568270	Same extraction
7316-452	571401	568275	Same extraction
7316-455	588317	582342	Same extraction
7316-456	570107	562051	Same extraction
7316-458	571399	568273	Same extraction
7316-459	549601	468433	Same extraction
7316-460	574548	568278	Same extraction
7316-461	739958	689832	Same extraction
7316-462	588301	581281	Same extraction
7316-464	746062	416629	Same extraction
7316-466	401561	Not found	Same extraction
7316-47	549602	470148	Same extraction
7316-470	549594	468964	Same extraction
7316-471	564471	560232	Same extraction
7316-472	571400	568274	Same extraction
7316-474	564472	560233	Same extraction
7316-475	588339	583402	Same extraction
7316-476	588340	583403	Same extraction
7316-477	739950	568280	Same extraction
7316-479	734514	448311	Different tissue aliquot
7316-480	588319	582345	Same extraction
7316-485	570106	562050	Same extraction
7316-487	588341	583404	Same extraction
7316-488	571426	569334	Same extraction
7316-489	549579	441620	Same tissue aliquot
7316-490	570108	562052	Same extraction
7316-493	570105	562049	Same extraction
7316-495	564473	560234	Same extraction
7316-496	734515	490109	Different tissue aliquot
7316-497	570100	560235	Same extraction
7316-498	588342	583405	Same extraction
7316-499	571425	568279	Same extraction
7316-5	549581	442019	Different tissue aliquot
7316-50	601585	593246	Same extraction
7316-502	588359	583310	Same extraction
7316-505	731887	729729	Same extraction
7316-506	588299	581278	Same extraction
7316-51	601599	591584	Same extraction
7316-512	401962	Not found	Same tissue aliquot
7316-515	711651	551469	Same extraction
7316-516	571424	568197	Same extraction
7316-519	711764	603418	Same extraction
7316-521	731926	731335	Same extraction
7316-523	588343	583406	Same extraction
7316-525	549578	441619	Same tissue aliquot
7316-529	470022	415510	Same extraction
7316-532	470434	458218	Same extraction
7316-535	577717	574707	Same extraction
7316-536	994694	400788	Same extraction
7316-536	400788	Not found	Same extraction
7316-544	577731	576851	Same tissue aliquot
7316-545	739973	604296	Same tissue aliquot
7316-548	549596	469538	Same extraction
7316-549	549609	476258	Same extraction
7316-550	739943	470310	Same tissue aliquot
7316-553	564489	561567	Same extraction
7316-554	746089	743150	Same extraction
7316-556	564478	560764	Same extraction
7316-561	739967	582346	Same extraction
7316-562	746090	743151	Same extraction
7316-6	573165	571286	Same extraction
7316-612	746105	744187	Same extraction
7316-619	400121	Not found	Same extraction
7316-620	400120	Not found	Same extraction
7316-622	400789	Not found	Same extraction
7316-624	400268	Not found	Same extraction
7316-639	711763	603417	Same extraction
7316-641	588309	581554	Same extraction
7316-642	731935	731563	Same extraction
7316-643	731896	730407	Same extraction
7316-644	739975	604300	Same extraction
7316-658	573146	570515	Same extraction
7316-659	470424	455921	Same tissue aliquot
7316-663	728294	727872	Same extraction
7316-666	588457	586304	Same extraction
7316-670	588289	580683	Same extraction
7316-676	731927	731336	Same extraction
7316-677	728281	727822	Same extraction
7316-681	728252	725579	Same extraction
7316-692	549617	534727	Same extraction
7316-70	601597	591581	Different tissue aliquot
7316-71	470015	415506	Different tissue aliquot
7316-714	470018	415894	Same tissue aliquot
7316-715	549599	469539	Same extraction
7316-716	400787	Not found	Same extraction
7316-719	739976	604302	Same extraction
7316-723	731869	728667	Same extraction
7316-725	739965	581557	Same extraction
7316-726	588311	581556	Same extraction
7316-729	711678	652368	Same extraction
7316-73	739948	567507	Same extraction
7316-733	564457	555702	Same extraction
7316-735	728282	727823	Same extraction
7316-736	470432	450680	Same extraction
7316-737	711665	650584	Same extraction
7316-739	731886	729728	Same extraction
7316-740	470429	455486	Same extraction
7316-741	588458	586305	Same extraction
7316-746	588285	578424	Same extraction
7316-747	588286	578425	Same extraction
7316-749	588461	586308	Same extraction
7316-76	588349	583300	Same extraction
7316-762	471264	469540	Same extraction
7316-764	470427	455922	Same extraction
7316-765	470731	Not found	NA
7316-77	601595	591579	Different tissue aliquot
7316-775	470421	462743	Same extraction
7316-78	564476	560239	Same extraction
7316-784	401961	Not found	Same tissue aliquot
7316-80	739946	563013	Same extraction
7316-820	570097	554628	Same extraction
7316-839	711660	650577	Same extraction
7316-84	549593	468956	Same extraction
7316-842	711659	650576	Same extraction
7316-843	711658	650575	Same extraction
7316-85	398059	Not found	NA
7316-85	994693	398059	Different tissue aliquot
7316-851	739971	603415	Same extraction
7316-853	746106	744189	Same extraction
7316-869	564474	560237	Same extraction
7316-87	1030650	Not found	Different tissue aliquot
7316-87	401963	Not found	Same tissue aliquot
7316-870	398453	Not found	NA
7316-872	470435	455489	Same extraction
7316-873	570111	562056	Same extraction
7316-874	588321	582348	Same extraction
7316-875	734520	562105	Same extraction
7316-876	731907	731072	Same extraction
7316-877	570110	562055	Same extraction
7316-878	549572	446721	Same extraction
7316-879	570115	562106	Same extraction
7316-88	734540	733633	Same tissue aliquot
7316-882	588322	582349	Same extraction
7316-884	588323	582350	Same extraction
7316-889	571421	568193	Same extraction
7316-89	577715	574705	Same extraction
7316-891	734522	569512	Same extraction
7316-892	588357	583308	Same extraction
7316-893	588358	583309	Same extraction
7316-894	571437	569511	Same extraction
7316-895	470020	415895	Same extraction
7316-896	588363	584285	Same extraction
7316-897	549568	448065	Same tissue aliquot
7316-898	734539	733620	Same extraction
7316-9	570098	554633	Same extraction
7316-901	588364	584286	Same extraction
7316-903	577716	574706	Same extraction
7316-905	734521	568194	Same extraction
7316-906	588279	442022	Same extraction
7316-908	549564	441623	Different tissue aliquot
7316-91	570119	563016	Same extraction
7316-913	564444	548799	Same extraction
7316-914	571422	568195	Same extraction
7316-915	571423	568196	Same extraction
7316-917	739955	581276	Same extraction
7316-918	549562	447255	Same tissue aliquot
7316-92	570118	563015	Same extraction
7316-921	571436	569510	Same extraction
7316-922	549582	442023	Different tissue aliquot
7316-923	728283	727824	Same extraction
7316-924	739951	580686	Same extraction
7316-925	564450	549468	Same extraction
7316-929	588327	582683	Same extraction
7316-93	588325	582043	Same extraction
7316-931	608925	600527	Same extraction
7316-932	571438	569514	Same extraction
7316-934	654217	645101	Same extraction
7316-935	573137	570431	Same extraction
7316-936	588442	585475	Same extraction
7316-937	549585	442817	Different tissue aliquot
7316-938	588443	585476	Same extraction
7316-944	549611	477333	Same extraction
7316-946	588444	585477	Same extraction
7316-948	588445	585478	Same extraction
7316-949	734543	734417	Same extraction
7316-95	608916	448714	Same extraction
7316-950	731928	731337	Same extraction
7316-952	734519	562053	Same extraction
7316-954	549590	467900	Same extraction
7316-956	573138	570432	Same extraction
7316-957	571420	568192	Same extraction
7316-96	564488	561566	Same extraction
7316-965	564475	560238	Same extraction
7316-966	731918	731108	Same extraction
7316-968	1030646	DNA and RNA listed as virtual	NA
7316-97	588350	583301	Same extraction
7316-974	549622	535807	Same tissue aliquot
