Sample	C11orf95--RELA	EWSR1--FLI1	KIAA1549--BRAF	No_rec_fusion	REV3L--FYN
BS_4DQAQFQH	0	0	0	1	0
BS_4DTX295Z	0	0	0	1	0
BS_4DY83R02	0	0	0	1	0
BS_4E1G7E3G	0	0	0	1	0
BS_4EAVBDKR	0	0	0	1	0
BS_4EK9WVET	0	0	0	1	0
BS_4EN8D8Y4	0	0	0	1	0
BS_4FZS7TX4	0	0	0	1	0
BS_4G9Y2VC6	0	0	0	1	0
BS_4GKH983E	0	0	0	1	0
BS_4GTESTSE	0	0	0	1	0
BS_4HD33MVB	0	0	0	1	0
BS_4HQ3T2NC	0	0	1	0	0
BS_4JPDCXVR	0	0	0	1	0
BS_4JWBB28H	0	0	0	1	0
BS_4K4YW80B	0	0	0	1	0
BS_4KXBM5J8	0	0	0	1	0
BS_4M0ZMCDC	0	0	0	1	0
BS_4NF35AF6	0	0	0	1	0
BS_4NPEMNAD	0	0	0	1	0
BS_4NWHYH53	0	0	0	1	0
BS_4P25NNZD	0	0	0	1	0
BS_4PAE19ZC	0	0	0	1	0
BS_4PH1MBGR	0	0	0	1	0
BS_4PPHAQXF	0	0	0	1	0
BS_4PWDGEB0	0	0	0	1	0
BS_4QFSH7C4	0	0	0	1	0
BS_4QW2S1Q8	0	0	0	1	0
BS_4RS1SC48	0	0	0	1	0
BS_4RT8H37A	0	0	0	1	0
BS_4RV40GPD	0	0	0	1	0
BS_4RVAJBCR	0	0	0	1	0
BS_4SCWT0FX	0	0	0	1	0
BS_4T0HPZDC	0	0	0	1	0
BS_4T3BZ2F6	0	0	0	1	0
BS_4T617TSG	0	0	0	1	0
BS_4T8J7JEP	0	0	0	1	0
BS_4TEXRBCG	0	0	0	1	0
BS_4W1DBAN4	0	0	0	1	0
BS_4W68NV3M	0	0	0	1	0
BS_4XPPZTGG	0	0	0	1	0
BS_4XTPR2VM	0	0	0	1	0
BS_4Y6BCYK5	0	0	1	0	0
BS_4Z2E5K9N	0	0	0	1	0
BS_4Z2F4P9N	0	0	0	1	0
BS_4Z6F1HJZ	0	0	0	1	0
BS_4ZKN0WGS	0	0	0	1	0
BS_4ZRXYY4Z	0	0	0	1	0
BS_50XV7CTQ	0	0	0	1	0
BS_51RA1PGE	0	0	0	1	0
BS_51ZADQ6R	0	0	0	1	0
BS_52426AMF	0	0	0	1	0
BS_52C576HH	0	0	0	1	0
BS_52DAPP1Y	0	0	1	0	0
BS_52ETE050	0	0	0	1	0
BS_52MPKTJH	0	0	0	1	0
BS_531TJYQE	0	0	0	1	0
BS_53CTGDQG	0	0	0	1	0
BS_53GQKVEX	0	0	1	0	0
BS_53M8PP88	0	0	0	1	0
BS_53TV75NN	0	0	0	1	0
BS_541KKASA	0	0	0	1	0
BS_556GG009	0	0	0	1	0
BS_55JW3HFM	0	0	0	1	0
BS_55N7KFHW	0	0	0	1	0
BS_55P8HPYD	0	0	1	0	0
BS_579DARY4	0	0	0	1	0
BS_58X7SKJS	0	0	0	1	0
BS_58YXHGAJ	0	0	0	1	0
BS_593HEWBF	0	0	0	1	0
BS_5965SFPZ	0	0	0	1	0
BS_5968GBGT	0	0	0	1	0
BS_59FR1NC2	0	0	0	1	0
BS_59H6VFJX	0	0	0	1	0
BS_59ZJWJTF	0	0	0	1	0
BS_5AF6ZNJF	0	0	0	1	0
BS_5AXMM8V5	0	0	0	1	0
BS_5B6XZ7YP	0	0	0	1	0
BS_5B7YXYEH	0	0	0	1	0
BS_5BCMBVDR	0	0	0	1	0
BS_5BMNK8SY	0	0	0	1	0
BS_5BNV7MCF	0	0	0	1	0
BS_5BZXVKWT	0	0	0	1	0
BS_5C23V7CC	0	0	0	1	0
BS_5CCAC8TZ	0	0	0	1	0
BS_5CMGN56B	0	0	0	1	0
BS_5CTVXVRX	0	0	0	1	0
BS_5D24XV4T	0	0	0	1	0
BS_5DPMQQVG	0	0	0	1	0
BS_5ECS2BQT	0	0	0	1	0
BS_5ESEHG0A	0	0	0	1	0
BS_5FBN4PPQ	0	0	0	1	0
BS_5FP2H6VW	0	0	0	1	0
BS_5GNQC2FF	0	0	0	1	0
BS_5GRVA3YE	0	0	0	1	0
BS_5J5VH3X0	0	0	0	1	0
BS_5JC116NM	0	0	0	1	0
BS_5JM573JC	0	0	0	1	0
BS_5K3R0F5D	0	0	0	1	0
BS_5KFAEMQJ	0	0	0	1	0
BS_5KK9P7XD	0	0	0	1	0
BS_5M3NSS9K	0	0	0	1	0
BS_5MJ9XXAC	0	0	0	1	0
BS_5N2GEGMD	0	0	0	1	0
BS_5N4ZSC43	0	0	0	1	0
BS_5NAKYS1S	0	0	0	1	0
BS_5NWDARXG	0	0	0	1	0
BS_5P1TN10Z	0	0	0	1	0
BS_5P3CZQV8	0	0	0	1	0
BS_5PEFNDCY	0	0	1	0	0
