samples	experimental_strategy	genome_size	breaks_count	breaks_density
BS_BBTT7DH4	WGS	2719487222	24	0.00882519314885753
BS_BD4RQ1G0	WGS	2719487222	4	0.0014708655248095884
BS_BFDEZK1C	WGS	2719487222	88	0.03235904154581094
BS_BM95DGCQ	WGS	2719487222	0	0
BS_BMHYK93N	WGS	2719487222	0	0
BS_BNFCXVYZ	WGS	2719487222	0	0
BS_BQ81D2BP	WGS	2719487222	16	0.0058834620992383535
BS_BQWMQM2Y	WGS	2719487222	84	0.030888176021001357
BS_BR1X3R68	WGS	2719487222	0	0
BS_BS5X4H0Y	WGS	2719487222	0	0
BS_BSM3ZHW4	WGS	2719487222	0	0
BS_BVD7PWP5	WGS	2719487222	0	0
BS_BWZTMWTM	WGS	2719487222	16	0.0058834620992383535
BS_BX8AR74E	WGS	2719487222	26	0.009560625911262324
BS_BYJDRXMK	WGS	2719487222	2	7.354327624047942e-4
BS_BZ4GKDP4	WGS	2719487222	4	0.0014708655248095884
BS_BZWM455T	WGS	2719487222	4	0.0014708655248095884
BS_C0YDDQKB	WGS	2719487222	0	0
BS_C19DFVR5	WGS	2719487222	120	0.044125965744287655
BS_C1RRDNF5	WGS	2719487222	84	0.030888176021001357
BS_C2NH5FDT	WGS	2719487222	60	0.022062982872143828
BS_C3KDA5ZC	WGS	2719487222	0	0
BS_C3X4AEK5	WGS	2719487222	14	0.0051480293368335595
BS_C5RDMCCS	WGS	2719487222	2	7.354327624047942e-4
BS_C6GBYR17	WGS	2719487222	18	0.006618894861643148
BS_C6NB914B	WGS	2719487222	8	0.0029417310496191768
BS_C9TNGEA0	WGS	2719487222	8	0.0029417310496191768
BS_CBMAWSAR	WGS	2719487222	166	0.06104091927959792
BS_CDKC1E2B	WGS	2719487222	0	0
BS_CFEWVDG1	WGS	2719487222	0	0
BS_CFPWSZB5	WGS	2719487222	2	7.354327624047942e-4
BS_CGCNC41M	WGS	2719487222	0	0
BS_CGXTFM67	WGS	2719487222	0	0
BS_CHAFNK64	WGS	2719487222	2	7.354327624047942e-4
BS_CK7CPM73	WGS	2719487222	88	0.03235904154581094
BS_CKY2TTXG	WGS	2719487222	20	0.007354327624047942
BS_CN7PB0DN	WGS	2719487222	4	0.0014708655248095884
BS_CP435MAC	WGS	2719487222	2	7.354327624047942e-4
BS_CPYV7AHD	WGS	2719487222	0	0
BS_CPZZR2R7	WGS	2719487222	52	0.019121251822524648
BS_CQ8C6X4X	WGS	2719487222	4	0.0014708655248095884
BS_CRKBDAYZ	WGS	2719487222	16	0.0058834620992383535
BS_CSY11X7E	WGS	2719487222	6	0.0022062982872143827
BS_CWQ35N2K	WGS	2719487222	4	0.0014708655248095884
BS_CXCKHP3Z	WGS	2719487222	0	0
BS_CXDKK6KS	WGS	2719487222	2	7.354327624047942e-4
BS_CXN0498B	WGS	2719487222	0	0
BS_CZRA594T	WGS	2719487222	0	0
BS_D09VWF8H	WGS	2719487222	0	0
BS_D2BZ25FW	WGS	2719487222	0	0
BS_D368BNRD	WGS	2719487222	92	0.033829907070620537
BS_D3KVGMRJ	WGS	2719487222	68	0.025004713921763004
BS_D3XVXF05	WGS	2719487222	8	0.0029417310496191768
BS_D3ZV6MMY	WGS	2719487222	2	7.354327624047942e-4
BS_D59VEERR	WGS	2719487222	42	0.015444088010500678
BS_D6STCMQS	WGS	2719487222	0	0
BS_D6XHKZDZ	WGS	2719487222	4	0.0014708655248095884
BS_DAEM3WRX	WGS	2719487222	4	0.0014708655248095884
BS_DC7XYYG8	WGS	2719487222	4	0.0014708655248095884
BS_DE26D072	WGS	2719487222	26	0.009560625911262324
BS_DGG7YE8R	WGS	2719487222	44	0.01617952077290547
BS_DH86PF5A	WGS	2719487222	20	0.007354327624047942
BS_DJEVCH34	WGS	2719487222	26	0.009560625911262324
BS_DMBNB0EP	WGS	2719487222	0	0
BS_DT92H1MJ	WGS	2719487222	2	7.354327624047942e-4
BS_DVDT4VXQ	WGS	2719487222	0	0
BS_DVQYQSVW	WGS	2719487222	8	0.0029417310496191768
BS_DW1CYEXP	WGS	2719487222	22	0.008089760386452736
BS_E0AAK0V0	WGS	2719487222	16	0.0058834620992383535
BS_E0S2Y0TS	WGS	2719487222	46	0.016914953535310268
BS_E1VJCEWB	WGS	2719487222	28	0.010296058673667119
BS_E2RXQ3JW	WGS	2719487222	10	0.003677163812023971
BS_E42SSQGJ	WGS	2719487222	14	0.0051480293368335595
BS_E5B2YZJH	WGS	2719487222	12	0.004412596574428765
BS_E5H6CFYT	WGS	2719487222	0	0
BS_E7HEQZ1K	WGS	2719487222	20	0.007354327624047942
BS_E8MC6R2K	WGS	2719487222	6	0.0022062982872143827
BS_E8SJ36A6	WGS	2719487222	0	0
BS_E9ATGWME	WGS	2719487222	20	0.007354327624047942
BS_E9M7TDB6	WGS	2719487222	0	0
BS_EDCQ4M0R	WGS	2719487222	4	0.0014708655248095884
BS_EDZCAHR2	WGS	2719487222	26	0.009560625911262324
BS_EE73VE7V	WGS	2719487222	0	0
BS_EFBBP9H3	WGS	2719487222	0	0
BS_EHBH0NYX	WGS	2719487222	8	0.0029417310496191768
BS_EJ1H9PZY	WGS	2719487222	36	0.013237789723286295
BS_EJV0N3BX	WGS	2719487222	204	0.075014141765289
BS_EKR4NSNW	WGS	2719487222	4	0.0014708655248095884
BS_EP25TTAG	WGS	2719487222	222	0.08163303662693215
BS_EPM623G4	WGS	2719487222	126	0.046332264031502035
BS_EQE19CB0	WGS	2719487222	28	0.010296058673667119
BS_ERAWW3H7	WGS	2719487222	0	0
BS_ERFMPQN3	WGS	2719487222	4	0.0014708655248095884
BS_ERMGD2N5	WGS	2719487222	NA	NA
BS_ETTZM63Y	WGS	2719487222	4	0.0014708655248095884
BS_EXTEGB51	WGS	2719487222	0	0
BS_F064HMTP	WGS	2719487222	0	0
BS_F0GNWEJJ	WGS	2719487222	142	0.05221572613074039
BS_F1B71HTZ	WGS	2719487222	28	0.010296058673667119
BS_F48RA7QF	WGS	2719487222	6	0.0022062982872143827
BS_F4D169Q7	WGS	2719487222	6	0.0022062982872143827
BS_F5641KTR	WGS	2719487222	42	0.015444088010500678
BS_F5KRHGKC	WGS	2719487222	0	0
BS_F5V8CWXT	WGS	2719487222	0	0
BS_F7KYPE79	WGS	2719487222	0	0
BS_F8K4VQMF	WGS	2719487222	40	0.014708655248095883
BS_F8KR1QWE	WGS	2719487222	68	0.025004713921763004
BS_F969DNHD	WGS	2719487222	4	0.0014708655248095884
BS_F9ZTZ4YS	WGS	2719487222	8	0.0029417310496191768
BS_FBJ516WW	WGS	2719487222	0	0
BS_FBP5NZNR	WGS	2719487222	6	0.0022062982872143827
BS_FCXEAPJ1	WGS	2719487222	8	0.0029417310496191768
BS_FF73TT6D	WGS	2719487222	0	0
BS_FFD25TTK	WGS	2719487222	6	0.0022062982872143827
