sample_id	frac_unmapped_of_total	frac_multi_mapped_of_mapped	frac_dupe_of_mapped	frac_non_exonic_of_non_dupe	MEND_depth_bin	summary_flag_status
BS_J6VKB1VE			below_limit	above_limit		D, NE
BS_J70GK8SM						not flagged
BS_J71N7D09						not flagged
BS_J8G4SH4Z						not flagged
BS_J8VX4D17						not flagged
BS_JAEM78XS						not flagged
BS_JBGZ7HHZ	above_limit	above_limit	above_limit		10-20 MEND_reads	NM, MM, D, 10-20M
BS_JCPKYHKY						not flagged
BS_JFB984RG						not flagged
BS_JFEZA9KE						not flagged
BS_JFR750KD						not flagged
BS_JG9JZTA9						not flagged
BS_JGPR9SR2						not flagged
BS_JH29M4KG						not flagged
BS_JHGW42S6						not flagged
BS_JK0VPG1T	above_limit	above_limit				NM, MM
BS_JKXA3FQC						not flagged
BS_JMHG7GCN						not flagged
BS_JR5ATB7G						not flagged
BS_JRYJGYC4						not flagged
BS_JS95PE0J						not flagged
BS_JSPR854S	above_limit					NM
BS_JT82QGXF						not flagged
BS_JTMXAMB7						not flagged
BS_JVA2NQFF						not flagged
BS_JVW2JJ39						not flagged
BS_JWCX8R17	above_limit	above_limit				NM, MM
BS_JWSR581E						not flagged
BS_JX449BF5						not flagged
BS_JX7S9MY7			above_limit		10-20 MEND_reads	D, 10-20M
BS_JXF8A2A6						not flagged
BS_JXNZYGCR						not flagged
BS_JZRM1S3T						not flagged
BS_K17VQECG						not flagged
BS_K25F4J3V						not flagged
BS_K2FHZGTK						not flagged
BS_K2VYFVKZ						not flagged
BS_K3ER45RV						not flagged
BS_K5802F84						not flagged
BS_K74PZET7						not flagged
BS_K7MVS0Z7						not flagged
BS_K81DR8XG						not flagged
BS_KBT7MQ6H						not flagged
BS_KDSTG5YY						not flagged
BS_KE56MMY0						not flagged
BS_KEA474HN						not flagged
BS_KF0ZXDER						not flagged
BS_KK0JWATQ			above_limit		10-20 MEND_reads	D, 10-20M
BS_KK5C8VCK						not flagged
BS_KM2EX0K6						not flagged
BS_KN92S7YQ						not flagged
BS_KND4B5CW						not flagged
BS_KP735TJ6						not flagged
BS_KPT2WPHW						not flagged
BS_KQ6ZW085						not flagged
BS_KR4MP5ET						not flagged
