Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
BS_HBAKYKQM	4	2	1	0	56	1	0	7	1	72
BS_RB8VSEVG	2	0	3	0	52	2	0	1	12	72
BS_CX6KACX6	1	0	3	0	64	3	0	0	0	71
BS_HTGDSPQA	0	1	0	0	68	1	0	1	0	71
BS_K07KNTFY	0	0	2	0	64	2	0	0	3	71
BS_R82MYPKB	0	0	3	1	63	2	0	0	2	71
BS_0FQKT8EY	5	1	5	1	53	3	0	2	0	70
BS_2P7MJGM7	1	0	2	0	59	1	0	2	5	70
BS_9DN4QR6E	1	4	0	1	57	4	1	2	0	70
BS_AG6M7TJE	6	1	6	0	52	2	0	3	0	70
BS_JGKRN7NA	1	2	1	0	61	2	0	3	0	70
BS_1EQGGHHQ	1	0	3	1	63	0	0	0	1	69
BS_2VSN5YC5	0	0	0	0	63	0	0	0	6	69
BS_8FSJDG2T	1	1	1	0	61	2	0	2	1	69
BS_F9ZTZ4YS	1	0	3	0	61	3	0	0	1	69
BS_FCXEAPJ1	1	0	1	0	62	1	0	0	4	69
BS_YKQP4SBX	0	0	1	1	60	1	0	2	4	69
BS_0XR7GYAV	0	0	0	0	62	3	0	1	2	68
BS_6JBE0947	6	0	2	0	55	4	0	1	0	68
BS_7M6F9GQD	0	0	0	1	63	2	0	2	0	68
BS_CK7CPM73	0	0	1	0	62	1	0	1	3	68
BS_R1CV479M	0	2	3	1	56	3	0	1	2	68
BS_X7QJCVJB	2	0	2	0	61	2	0	0	1	68
BS_VKH9KYDB	2	1	1	0	56	5	0	0	2	67
BS_XWQTX5HH	0	0	1	0	62	1	0	1	2	67
BS_70FKSKM9	0	0	0	0	59	1	0	4	2	66
BS_ZBWQG7VR	0	0	0	0	61	2	0	0	3	66
BS_49JD1V3S	0	0	1	1	59	1	0	0	3	65
BS_6VKKMM6M	2	0	1	0	59	3	0	0	0	65
BS_895FJ34T	0	0	2	1	59	1	0	1	1	65
BS_9BN45DFK	0	1	0	0	58	1	0	1	4	65
BS_A1DV9T7G	1	1	0	1	61	0	0	1	0	65
BS_JBY9S5D4	1	1	2	2	55	2	0	0	2	65
BS_PNXDHDF3	9	6	6	0	38	3	0	3	0	65
BS_6FYTRKJJ	1	0	0	0	57	2	0	1	3	64
BS_QZPGVNBB	0	0	4	0	58	1	0	1	0	64
BS_2JDVY4F7	0	0	2	0	54	0	1	3	3	63
BS_8BD8WD38	0	0	1	1	56	3	0	0	2	63
BS_9CMJ3QF6	1	2	5	0	53	2	0	0	0	63
BS_3J4T2YYW	0	0	3	0	54	2	0	0	3	62
BS_K3PPH522	1	0	0	1	59	1	0	0	0	62
BS_EPM623G4	6	2	5	0	44	3	0	1	0	61
BS_G2016BE5	1	0	1	1	55	1	0	0	2	61
BS_3CG2N4PD	2	1	3	0	51	2	0	1	0	60
