Kids_First_Biospecimen_ID	MACF1--TTYH1	MN1--AC008667.1	MN1--CXXC5	MN1--PATZ1	MN1--PSD2	NPAS3--AC245884.4/TTYH1	TTYH1--DPRX/RNU6-698P	TTYH1--MIR512-2/MIR1323	TTYH1--MIR515-2/MIR519C	ZC4H2--AL627224.1/FOXR2	ZC4H2--FOXR2	CIC--NUTM1	MN1--BEND2
BS_ERWT0ZWE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_ZR96A4FH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_FW5ECXXK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_52426AMF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_WV0S8N4M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_PKW05VZV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_GC3CH9TY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_CGB2WS2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_9HA238XS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_GSVCN2XC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_CB6VK7PB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_PK18H7E7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_5P3CZQV8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_NKRYMHEP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_TNRHHYNC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_3BVVWHP5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_NYS8TRCB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_KN92S7YQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_QZFEB94Q	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_2ADZNNV4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
