Ensembl;Gene.name;Refseq;CCDS.ID
ENST00000263697;DNAJC8;NM_014280;CCDS41292
ENST00000263733;FAM20B;"NM_001324310; NM_014864; NM_001324311";CCDS1328
ENST00000263773;FNBP4;"NM_015308; NM_001318339";CCDS41644
ENST00000263774;NDUFS3;NM_004551;CCDS7941
ENST00000263780;CHMP2B;NM_014043;CCDS2918
ENST00000263847;OSBP;NM_002556;CCDS7974
ENST00000263856;CHMP3;NM_016079;CCDS33236
ENST00000263897;USE1;NM_018467;CCDS46011
ENST00000263956;GTF3C3;NM_012086;CCDS2316
ENST00000263960;COQ10B;NM_025147;CCDS2319
ENST00000264028;ARCN1;NM_001655;CCDS8400
ENST00000264108;HAT1;NM_003642;CCDS2245
ENST00000264158;RAB3GAP1;NM_012233;CCDS33294
ENST00000264161;DARS;"NM_001293312; NM_001349";CCDS2180
ENST00000264198;MUL1;NM_024544;CCDS208
ENST00000264255;TXNDC9;NM_005783;CCDS2044
ENST00000264258;RPL31;NM_000993;CCDS2049
ENST00000264279;NOP58;NM_015934;CCDS2353
ENST00000264335;YWHAE;NM_006761;CCDS11001
ENST00000264389;COPS4;NM_016129;CCDS3600
ENST00000264431;RAPGEF2;"NM_001351726; NM_001351725; NM_001351728; NM_001351727; NM_014247";CCDS43277
ENST00000264451;SLC30A9;NM_006345;CCDS3465
ENST00000264555;PHRF1;NM_001286581;CCDS65988
ENST00000264639;PSMD3;NM_002809;CCDS11356
ENST00000264645;CASC3;NM_007359;CCDS11362
ENST00000264657;STAT3;NM_139276;CCDS32656
ENST00000264933;PDCD6;NM_013232;CCDS3854
ENST00000264954;GRPEL1;NM_025196;CCDS3396
ENST00000264963;LMAN2L;"NM_001322351; NM_001322350; NM_001322356; NM_001322355; NM_030805";CCDS2023
ENST00000264993;CDV3;NM_017548;CCDS3079
ENST00000264995;MRPL3;NM_007208;CCDS3071
ENST00000265028;DNAJB11;NM_016306;CCDS3277
ENST00000265044;SSR3;NM_007107;CCDS3176
ENST00000265062;RAB7A;NM_004637;CCDS3052
ENST00000265070;GOLPH3;NM_022130;CCDS3896
ENST00000265073;SUB1;NM_006713;CCDS3897
ENST00000265093;ATP6V0E1;NA;
ENST00000265175;SEC24B;"NM_006323; NM_001318085";CCDS47124
ENST00000265192;PAIP2;NM_016480;CCDS4211
ENST00000265245;LSG1;NM_018385;CCDS33922
ENST00000265339;UBE2B;NM_003337;CCDS4174
ENST00000265343;AFF4;NM_014423;CCDS4164
ENST00000265393;TAX1BP1;NM_001079864;CCDS43561
ENST00000265462;PRDX5;"NM_001358511; NM_012094; NM_001358516";CCDS8069
ENST00000265563;PRKAR2A;NM_004157;CCDS2778
ENST00000265758;BUD23;NM_017528;CCDS5557
ENST00000265857;GET4;NM_015949;CCDS5317
ENST00000265866;HNRNPH3;"NM_001322445; NM_001322434; NM_001322442; NM_001322448; NM_001322450; NM_001322453; NM_012207; NM_001322443; NM_001322446; NM_001322452; NM_001322444; NM_001322436; NM_001322447; NM_001322451; NM_001322437; NM_001322449";CCDS7278
ENST00000265909;SNX19;"NM_001347922; NM_001347918; NM_001347919; NM_014758";CCDS31721
ENST00000266025;TMEM115;NM_007024;CCDS2828
ENST00000266027;GNAI2;"NM_001282617; NM_001282618";CCDS63644
ENST00000266069;GID8;NM_017896;CCDS13510
ENST00000266079;PRPF6;NM_012469;CCDS13550
ENST00000266529;ZCRB1;NM_033114;CCDS8740
ENST00000266735;SNRPF;NM_003095;CCDS9055
ENST00000267103;C12orf10;NM_021640;CCDS31810
ENST00000267115;TMBIM6;NM_003217;CCDS31797
ENST00000267116;ANKRD52;NM_173595;CCDS44920
ENST00000267197;SETD1B;NA;
ENST00000267202;VPS37B;NM_024667;CCDS9239
ENST00000267339;ANKRD10;NM_017664;CCDS9520
ENST00000267425;NOP9;NM_174913;CCDS9624
ENST00000267750;EMC4;"NM_001351373; NM_016454";CCDS10035
ENST00000267812;MFAP1;NM_005926;CCDS10105
ENST00000267884;SRP14;"NM_003134; NM_001309434";CCDS42017
ENST00000268171;FURIN;NM_002569;CCDS10364
ENST00000268220;SEC11A;NM_014300;CCDS45340
ENST00000268482;DHX38;NM_014003;CCDS10907
ENST00000268607;MAP1LC3B;NM_022818;CCDS10960
ENST00000268668;NDUFB10;NM_004548;CCDS10451
ENST00000268704;SPG7;NA;
ENST00000268711;MED9;NM_018019;CCDS11184
ENST00000268802;NOB1;NM_014062;CCDS10884
ENST00000269097;G6PC3;"NM_138387; NM_001319945";CCDS11476
ENST00000269143;AFG3L2;NM_006796;CCDS11859
ENST00000269187;SLC39A6;NM_012319;CCDS42428
ENST00000269195;GALNT1;NM_020474;CCDS11915
ENST00000269321;ARHGDIA;"NM_001301243; NM_004309";CCDS11788
ENST00000269349;EIF4A3;NA;CCDS11767
ENST00000269373;FN3KRP;NM_024619;CCDS11817
ENST00000269886;SH3GL1;NM_003025;CCDS32874
ENST00000269967;CCDC97;"NM_052848; NM_001346100";CCDS12578
ENST00000270142;SOD1;NM_000454;CCDS33536
ENST00000270176;SCYL1;NM_020680;CCDS41672
ENST00000270460;EPN1;"NM_001130072; NM_001321263";CCDS46199
ENST00000270517;ECSIT;NM_016581;CCDS12262
ENST00000270586;PSMB6;NM_002798;CCDS11056
ENST00000270625;RPS11;NM_001015;CCDS12769
ENST00000271373;MPC2;"NM_015415; NM_001143674";CCDS1266
ENST00000271526;PRCC;NM_005973;CCDS1157
ENST00000271628;SF3B4;NM_005850;CCDS72900
ENST00000271690;ENSA;NM_207044;CCDS963
ENST00000271764;EIF2D;NM_006893;CCDS1465
ENST00000271843;JTB;NM_006694;CCDS1057
ENST00000272065;ACP1;NM_004300;CCDS1639
ENST00000272067;ACP1;NM_007099;CCDS1640
ENST00000272102;ARF1;NM_001658;CCDS1565
ENST00000272217;ARL8A;NM_138795;CCDS1421
ENST00000272227;PDIA6;NM_005742;CCDS1675
ENST00000272274;RPL21;NA;CCDS9320
ENST00000272317;RPS27A;NM_002954;CCDS33202
ENST00000272348;SNRPG;"NM_001317171; NM_001317166; NM_003096";CCDS1903
ENST00000272418;MRPS5;"NM_031902; NM_001321996; NM_001321997; NM_001321995";CCDS2010
ENST00000272438;TEX261;NM_144582;CCDS1914
ENST00000272444;DUSP11;NM_003584;CCDS1928
ENST00000272930;UBE2F;NM_080678;CCDS2523
ENST00000273047;RAB5A;NM_004162;CCDS2633
ENST00000273062;CTDSP1;"NM_021198; NM_182642";CCDS2416
ENST00000273130;DYNC1LI1;NM_016141;CCDS2654
ENST00000273156;SEC22C;NM_004206;CCDS2699
ENST00000273158;SLC25A38;"NM_017875; NM_001354798";CCDS2685
ENST00000273221;IQSEC1;NM_014869;CCDS33703
ENST00000273223;RPL32;NA;
ENST00000273258;ARL6IP5;NM_006407;CCDS2912
ENST00000273480;RNF7;NM_014245;CCDS3118
ENST00000273590;TCTA;NM_022171;CCDS2796
ENST00000273968;PYURF;NM_032906;CCDS3631
ENST00000274065;RPS3A;NM_001006;CCDS3775
ENST00000274137;NDUFS6;NM_004553;CCDS3866
ENST00000274242;RPL37;NM_000997;CCDS3934
ENST00000274606;NHP2;NM_017838;CCDS4432
ENST00000274712;ZMAT2;NM_144723;CCDS4239
ENST00000274787;HIGD2A;NM_138820;CCDS4401
ENST00000274811;RNF44;NM_014901;CCDS4404
ENST00000274813;MUT;NM_000255;CCDS4924
ENST00000275036;HMGN3;"NM_001318888; NM_138730";CCDS4989
ENST00000275603;CCT6A;NM_001762;CCDS5523
ENST00000275732;GIGYF1;NM_022574;CCDS34708
ENST00000276062;NDUFB11;NM_019056;CCDS14273
ENST00000276079;NONO;NM_007363;CCDS14410
ENST00000276390;ATP6V1B2;NM_001693;CCDS6014
ENST00000276569;ARMC1;NM_018120;CCDS6181
ENST00000276585;MRPS28;NM_014018;CCDS6226
ENST00000276682;EIF3H;NA;
ENST00000276689;NDUFB9;NM_005005;CCDS6352
ENST00000278100;BCCIP;NM_078468;CCDS7651
ENST00000278353;HSD17B12;NM_016142;CCDS7905
ENST00000278412;SSRP1;NM_003146;CCDS7952
ENST00000278422;TMX2;"NM_001347895; NM_001347893; NM_001347894; NM_001347890; NM_001347898; NM_001347896; NM_001347892; NM_015959";CCDS7967
ENST00000278618;AASDHPPT;NM_015423;CCDS31664
ENST00000278671;LAMTOR1;NM_017907;CCDS8209
ENST00000279068;LSM14B;NM_144703;CCDS46626
ENST00000279146;AIP;"NM_003977; NM_001302960; NM_001302959";CCDS8168
ENST00000279242;MRPL49;NM_004927;CCDS8096
ENST00000279259;FAU;NA;
ENST00000279281;VPS51;NM_013265;CCDS8093
ENST00000279394;TAOK2;NM_004783;CCDS10662
ENST00000280557;DENR;NM_003677;CCDS45003
ENST00000280987;FAM177A1;NM_173607;CCDS9653
ENST00000281031;NDUFC2;NM_004549;CCDS8257
ENST00000281141;CDC123;NM_006023;CCDS7090
ENST00000281187;VPS26B;NM_052875;CCDS8495
ENST00000281871;MZT2B;NM_025029;CCDS2157
ENST00000282032;ARL14EP;NM_152316;CCDS7869
ENST00000282344;USP12;NM_182488;CCDS31952
ENST00000282892;MED21;"NM_001271811; NM_004264";CCDS8711
ENST00000282999;SRP19;NM_001204193;CCDS56375
ENST00000283027;NUBP1;"NM_001323596; NM_002484; NM_001323594; NM_001323595; NM_001323597";CCDS10543
ENST00000283131;SMARCA5;NM_003601;CCDS3761
ENST00000283179;HNRNPU;NA;
ENST00000283195;RANBP2;NM_006267;CCDS2079
ENST00000283290;ATG3;NM_022488;CCDS2966
ENST00000283534;TMEM251;NM_015676;CCDS41980
ENST00000283632;RMND5A;NM_022780;CCDS1991
ENST00000283646;RPIA;NM_144563;CCDS2004
ENST00000283882;CFDP1;NM_006324;CCDS10916
ENST00000283943;TRIP12;"NM_004238; NM_001348331; NM_001348317; NM_001284215; NM_001348316; NM_001348318";CCDS33391
ENST00000284165;MAX;NA;
ENST00000284320;TOMM70;NM_014820;CCDS33807
ENST00000284971;ATP5PF;NA;CCDS13574
ENST00000285021;XPC;"NM_001354729; NM_001354726; NM_001354730; NM_001354727; NM_004628";CCDS46763
ENST00000285071;FLCN;"NM_001353231; NM_001353230; NM_001353229; NM_144997";CCDS32579
ENST00000285243;ANKRD40;NM_052855;CCDS11572
ENST00000285298;MRPS17;NM_015969;CCDS5520
ENST00000285737;LONP2;"NM_001348078; NM_031490";CCDS10734
ENST00000285814;NIFK;NM_032390;CCDS2135
ENST00000286428;VBP1;"NM_001303543; NM_003372; NM_001303545";CCDS14765
ENST00000286760;WHAMM;NM_001080435;CCDS45333
ENST00000286953;ATP5MPL;NM_004894;CCDS9986
ENST00000287022;UQCRB;"NM_006294; NM_001199975";CCDS6269
ENST00000287038;RPL30;NM_000989;CCDS34928
ENST00000287218;ZFAND3;NM_021943;CCDS4836
ENST00000287468;FBRS;NA;
ENST00000287600;PDE6D;NM_002601;CCDS33398
ENST00000287667;NOMO1;NM_014287;CCDS10556
ENST00000287844;ABCF2;NM_007189;CCDS5923
ENST00000287859;ODR4;NM_017847;CCDS53448
ENST00000287957;GATAD1;NM_021167;CCDS5625
ENST00000288266;APPL1;NM_012096;CCDS2882
ENST00000288532;COQ5;NM_032314;CCDS31912
ENST00000288607;PSMG3;NM_032302;CCDS5327
ENST00000288828;WIPI2;NM_015610;CCDS5339
ENST00000288937;MRPL17;NM_022061;CCDS31412
ENST00000289228;ACTR1B;NM_005735;CCDS2033
ENST00000289371;EIF5B;NM_015904;CCDS42721
ENST00000289382;CNOT11;NM_017546;CCDS2050
ENST00000289816;ZNF276;NM_152287;CCDS10986
ENST00000290158;KPNB1;NM_002265;CCDS11513
ENST00000290231;NCOA5;"NM_001348148; NM_001348151; NM_001348150; NM_001348149; NM_020967";CCDS13392
ENST00000290291;OGFR;NM_007346;CCDS13504
ENST00000290299;ATP5PO;NM_001697;CCDS13634
ENST00000290330;SNF8;NM_001317192;CCDS82156
ENST00000290541;PSMB4;NM_002796;CCDS996
ENST00000290649;AMFR;"NM_001323512; NM_001323511; NM_001144";CCDS10758
ENST00000290949;ATP6V0D1;NM_004691;CCDS10838
ENST00000291295;CALM3;NM_005184;CCDS33061
ENST00000291386;SSU72;NM_014188;CCDS32
ENST00000291442;NR2F6;NM_005234;CCDS12352
ENST00000291552;U2AF1;NM_006758;CCDS13694
ENST00000291572;AGPAT3;NM_020132;CCDS13703
ENST00000291576;PWP2;NM_005049;CCDS33579
ENST00000291577;GATD3A;NM_004649;CCDS33580
ENST00000291900;ZER1;NM_006336;CCDS6910
ENST00000292123;SAFB;"NM_002967; NM_001320572";CCDS12142
ENST00000292211;UBE2Q1;NM_017582;CCDS1069
ENST00000292314;CCDC12;NM_144716;CCDS63612
ENST00000292363;RNF126;NM_194460;CCDS12039
ENST00000292431;NACC1;NM_052876;CCDS12294
ENST00000292475;ATP5MF;NM_004889;CCDS5665
ENST00000292494;LY6E;NM_002346;CCDS6394
ENST00000292524;LRRC14;NM_014665;CCDS6432
ENST00000292562;ZNF251;NM_138367;CCDS47944
ENST00000292577;ABHD17A;NM_001130111;CCDS45902
ENST00000292599;MAML1;NM_014757;CCDS34315
ENST00000292614;POLR2J;NM_006234;CCDS5724
ENST00000292807;AP2M1;NM_004068;CCDS43177
ENST00000292823;PCYT1A;NM_005017;CCDS3315
ENST00000293217;ACOX1;"NM_001185039; NM_004035";CCDS11734
ENST00000293328;STAT5B;NM_012448;CCDS11423
ENST00000293362;PSME3;NM_176863;CCDS11442
ENST00000293406;LSM12;NA;CCDS11475
ENST00000293760;LEMD2;"NM_001348710; NM_181336";CCDS4785
ENST00000293777;MED11;NM_001001683;CCDS32533
ENST00000293842;RPL26;NM_000987;CCDS11142
ENST00000294172;NXF1;NM_006362;CCDS8037
ENST00000294179;STX5;NM_003164;CCDS8038
ENST00000294189;RPL29;NM_000992;CCDS2845
ENST00000294258;ZFPL1;NM_006782;CCDS8092
ENST00000294353;ZYG11B;NM_024646;CCDS30717
ENST00000294360;C1orf123;"NM_001304760; NM_001304759; NM_017887";CCDS576
ENST00000295087;ARL5A;NM_012097;CCDS2195
ENST00000295317;RNF149;NM_173647;CCDS2051
ENST00000295321;IWS1;NM_017969;CCDS2146
ENST00000295470;HNRNPDL;NA;CCDS3593
ENST00000295491;MRPS18C;NM_016067;CCDS3604
ENST00000295682;KRTCAP2;NM_173852;CCDS1096
ENST00000295702;SSR2;NM_003145;CCDS1126
ENST00000295770;STT3B;NM_178862;CCDS2650
ENST00000295899;THOC7;NM_025075;CCDS2900
ENST00000295901;PSMD6;NM_014814;CCDS2901
ENST00000295955;RPL9;"NM_000661; NM_001024921";CCDS3452
ENST00000296102;MRPL33;NM_004891;CCDS1761
ENST00000296255;RPN1;NM_002950;CCDS3051
ENST00000296257;SENP2;NM_021627;CCDS33902
ENST00000296288;BAP1;NA;
ENST00000296412;ADH5;NM_000671;CCDS47111
ENST00000296424;BDH2;NM_020139;CCDS3663
ENST00000296425;PGRMC2;NA;
ENST00000296444;SHISA5;NM_016479;CCDS2770
ENST00000296456;APEH;NM_001640;CCDS2801
ENST00000296490;WDR82;NM_025222;CCDS2851
ENST00000296577;ABCE1;"NM_001040876; NM_002940";CCDS34071
ENST00000296582;TMEM184C;NM_018241;CCDS3770
ENST00000296597;NDUFAF2;NM_174889;CCDS3979
ENST00000296674;RPS23;NM_001025;CCDS47241
ENST00000296802;NSA2;NM_001271665;CCDS75260
ENST00000297071;TRA2A;NM_013293;CCDS5383
ENST00000297151;SLU7;"NM_001364520; NM_001364523; NM_001364517; NM_001364521; NM_006425";CCDS4352
ENST00000297156;CAMLG;NM_001745;CCDS4178
ENST00000297157;RP9;NM_203288;CCDS5440
ENST00000297185;HSPA9;NM_004134;CCDS4208
ENST00000297290;BRI3;NM_015379;CCDS5656
ENST00000297338;RAD21;NM_006265;CCDS6321
ENST00000298130;SPTSSA;NM_138288;CCDS9647
ENST00000298289;RPL36AL;NM_001001;CCDS9689
ENST00000298299;ZNF22;NM_006963;CCDS7211
ENST00000298585;ZMYND19;NM_138462;CCDS7048
ENST00000298818;ISCA2;NA;
ENST00000298852;PSMC3;NA;CCDS7935
ENST00000298894;MOAP1;NM_022151;CCDS9908
ENST00000299130;BCCIP;NM_078469;CCDS7650
ENST00000299166;NDUFB8;NM_005004;CCDS7497
ENST00000299259;COPS2;NM_001143887;CCDS45257
ENST00000299299;PCBD1;NM_000281;CCDS31217
ENST00000299300;CCT2;NM_006431;CCDS8991
ENST00000299424;TAF10;NM_006284;CCDS7769
ENST00000299427;TPP1;NM_000391;CCDS7770
ENST00000299608;TMX3;"NM_001350516; NM_001350515; NM_001350514; NM_001350517; NM_019022";CCDS32840
ENST00000299767;HSP90B1;NM_003299;CCDS9094
ENST00000299980;AP1G1;NM_001128;CCDS32480
ENST00000300026;PPIB;NM_000942;CCDS10191
ENST00000300030;CIAO2A;NM_032231;CCDS10189
ENST00000300086;TERF2IP;NM_018975;CCDS32491
ENST00000300107;CLPX;NM_006660;CCDS10202
ENST00000300146;PATL1;NM_152716;CCDS44613
ENST00000300151;MRPL16;NM_017840;CCDS7976
ENST00000300181;TSC22D4;"NM_001303043; NM_030935";CCDS5695
ENST00000300278;SON;NM_032195;CCDS13631
ENST00000300289;PDIA3;NM_005313;CCDS10101
ENST00000300291;NUDT21;NM_007006;CCDS10760
ENST00000300408;PHB;NM_002634;CCDS11548
ENST00000300452;COQ4;NM_016035;CCDS6898
ENST00000300574;CRK;NM_016823;CCDS11002
ENST00000300648;GCN1;NM_006836;CCDS41847
ENST00000300688;ATP5MG;NM_006476;CCDS8397
ENST00000300737;STIM1;NM_003156;CCDS7749
ENST00000300933;TPM4;NM_003290;CCDS12338
ENST00000301011;ZC3H18;NM_144604;CCDS10967
ENST00000301264;DAPK3;NA;CCDS12116
ENST00000301281;UBXN6;NM_025241;CCDS12129
ENST00000301364;TSR1;NM_018128;CCDS32525
ENST00000301458;CD320;NM_016579;CCDS12198
ENST00000301463;SPRYD3;NM_032840;CCDS8845
ENST00000301488;CDK2AP2;"NM_005851; NM_001271849";CCDS8169
ENST00000301522;PRDX2;NM_005809;CCDS12281
ENST00000301585;MRPL58;"NM_001303265; NM_001545";CCDS11711
ENST00000301587;ATP5PD;NM_006356;CCDS11712
ENST00000301678;FAM234A;NA;CCDS10402
ENST00000301686;METTL26;NM_032366;CCDS45368
ENST00000301727;E4F1;NM_004424;CCDS32370
ENST00000301738;KCTD5;NM_018992;CCDS10475
ENST00000301740;SRRM2;NM_016333;CCDS32373
ENST00000301764;DDB1;NM_001923;CCDS31576
ENST00000301765;VPS37C;NM_017966;CCDS31573
ENST00000301785;HNRNPUL2;NM_001079559;CCDS41659
ENST00000301821;RPSA;NM_002295;CCDS2686
ENST00000301935;UBXN1;NM_001286077;CCDS66105
ENST00000301964;TADA3;NM_006354;CCDS2583
ENST00000302165;IRF2BP1;NM_015649;CCDS12678
ENST00000302174;NUDT9;NM_024047;CCDS3620
ENST00000302182;UBB;"NM_001281716; NM_018955; NM_001281720";CCDS11177
ENST00000302243;DDX19A;NM_018332;CCDS10889
ENST00000302362;COPRS;NM_018405;CCDS11268
ENST00000302386;GABARAP;NM_007278;CCDS11092
ENST00000302392;TMEM42;NM_144638;CCDS2722
ENST00000302418;KIF5B;NM_004521;CCDS7171
ENST00000302422;TMEM256;NM_152766;CCDS11102
ENST00000302424;TRIM8;NA;
ENST00000302445;KARS;NM_005548;CCDS10923
ENST00000302503;MTCH2;"NM_001317232; NM_001317233; NM_001317231; NM_014342";CCDS7943
ENST00000302631;SCAMP3;NM_005698;CCDS1105
ENST00000302787;LETM1;NM_012318;CCDS3355
ENST00000302907;RPS9;"NM_001321704; NM_001321705; NM_001321701; NM_001013";CCDS12884
ENST00000302979;POLR1D;NA;CCDS9325
ENST00000303127;LMAN2;NM_006816;CCDS4417
ENST00000303151;POP7;NM_005837;CCDS5704
ENST00000303305;PA2G4;NM_006191;CCDS8902
ENST00000303319;MMADHC;NM_015702;CCDS2189
ENST00000303391;MECP2;"NM_004992; NM_001316337";CCDS14741
ENST00000303400;MAEA;"NM_001297430; NM_001017405";CCDS33936
ENST00000303407;BRD3;NM_007371;CCDS6980
ENST00000303436;ARF4;NM_001660;CCDS2884
ENST00000303538;PDS5A;NM_001100399;CCDS47045
ENST00000303545;RNF139;NM_007218;CCDS6350
ENST00000303575;TMED10;NM_006827;CCDS9840
ENST00000303577;PCBP1;NM_006196;CCDS1898
ENST00000303596;THAP11;NM_020457;CCDS10847
ENST00000303731;TRAPPC1;NM_021210;CCDS11125
ENST00000303961;EGLN2;NM_080732;CCDS12567
ENST00000304043;HINT1;NM_005340;CCDS4147
ENST00000304056;KBTBD2;NM_015483;CCDS34614
ENST00000304191;RAMAC;NM_031452;CCDS10321
ENST00000304301;NUDT16L1;NM_032349;CCDS10519
ENST00000304312;ATP5ME;NM_007100;CCDS3337
ENST00000304332;H2AFY;"NM_004893; NM_001040158";CCDS4183
ENST00000304414;ARL6IP1;NM_015161;CCDS10572
ENST00000304478;MRM3;"NM_001317947; NM_018146";CCDS10997
ENST00000304734;RPL7L1;NM_198486;CCDS4873
ENST00000304786;SRP9;NM_003133;CCDS1546
ENST00000304800;TMEM208;NM_014187;CCDS45511
ENST00000304858;HSPA4;NM_002154;CCDS4166
ENST00000304921;RPS7;NA;CCDS1648
ENST00000304979;PPIH;NM_006347;CCDS469
ENST00000304992;PRPF8;NM_006445;CCDS11010
ENST00000305105;ZNHIT1;NM_006349;CCDS5716
ENST00000305218;STIP1;NM_006819;CCDS8058
ENST00000305533;TWF2;NM_007284;CCDS2849
ENST00000305536;RBMX2;NM_016024;CCDS43993
ENST00000305596;CD2BP2;NM_006110;CCDS10675
ENST00000305786;CYCS;NM_018947;CCDS5393
ENST00000305943;RNF187;NM_001010858;CCDS76271
ENST00000305978;SCAND1;NM_033630;CCDS13269
ENST00000306024;LSM3;NM_014463;CCDS2619
ENST00000306058;ASXL1;NA;
ENST00000306077;TMEM43;NM_024334;CCDS2618
ENST00000306193;CBR4;NM_032783;CCDS3812
ENST00000306368;RNF181;NM_016494;CCDS1981
ENST00000306384;VAMP5;NM_006634;CCDS1980
ENST00000306562;ZNF672;NM_024836;CCDS1638
ENST00000306585;CHTF8;"NM_001366604; NM_001366603; NM_001002847";
ENST00000306739;ASPSCR1;NM_024083;CCDS11796
ENST00000306802;KIAA1109;NA;
ENST00000306917;FEM1B;NM_015322;CCDS10228
ENST00000307102;MAP2K1;NM_002755;CCDS10216
ENST00000307149;COG7;NM_153603;CCDS10610
ENST00000307630;YWHAG;NM_012479;CCDS5584
ENST00000307720;PPID;NM_005038;CCDS3801
ENST00000307768;JAGN1;NM_032492;CCDS2588
ENST00000307771;ZRSR2;NM_005089;CCDS14172
ENST00000307839;RPL15;"NM_001253379; NM_002948";CCDS2640
ENST00000307961;RPL4;NM_000968;CCDS10218
ENST00000308020;PTDSS2;"NM_001329548; NM_001329544; NM_001329545; NM_030783";CCDS7696
ENST00000308025;DDX23;NM_004818;CCDS8770
ENST00000308110;MUS81;"NM_001350283; NM_025128";CCDS8115
ENST00000308153;H2AFV;NM_012412;CCDS5496
ENST00000308162;CFL1;NM_005507;CCDS8114
ENST00000308271;USP48;"NM_001350164; NM_001350166; NM_001350167; NM_001350168; NM_032236";CCDS30623
ENST00000308436;TUT1;NM_022830;CCDS8021
ENST00000308511;CCAR2;NA;CCDS34863
ENST00000308595;GRK2;NM_001619;CCDS8156
ENST00000308677;PRKACA;"NM_002730; NM_001304349";CCDS12304
ENST00000308683;ZNF622;NM_033414;CCDS3886
ENST00000308696;PSMD1;NM_002807;CCDS2482
ENST00000308774;TRMT112;NM_001286082;CCDS66113
ENST00000308775;DAG1;"NM_001177636; NM_001177637; NM_004393; NM_001177639";CCDS2799
ENST00000308824;PCMTD2;NM_018257;CCDS13559
ENST00000308893;TAOK2;NM_016151;CCDS10663
ENST00000308924;U2AF2;NM_007279;CCDS12933
ENST00000308961;NDUFA11;NM_175614;CCDS12155
ENST00000308982;ACAD9;NM_014049;CCDS3053
ENST00000309032;BAD;NM_032989;CCDS8065
ENST00000309100;MAP3K11;NM_002419;CCDS8107
ENST00000309117;VPS26C;NM_006052;CCDS33553
ENST00000309137;FAM192A;"NM_001354078; NM_001354082; NM_001354083; NM_001354094; NM_001354084; NM_001354081; NM_001354086; NM_001354095; NM_001354088; NM_001354092; NM_001354096; NM_001354090; NM_001354097; NM_001354091; NM_001354085; NM_001354089; NM_024946";CCDS42168
ENST00000309244;ETFB;NM_001985;CCDS12828
ENST00000309246;TPT1;NA;
ENST00000309268;EEF1A1;NM_001402;CCDS4980
ENST00000309311;EEF2;NM_001961;CCDS12117
ENST00000309318;PPP1R14B;NM_138689;CCDS31596
ENST00000309324;C19orf70;NM_205767;CCDS12143
ENST00000309328;SSSCA1;NM_006396;CCDS8104
ENST00000309352;MRPL38;NM_032478;CCDS11733
ENST00000309422;VEGFB;NM_003377;CCDS8062
ENST00000309428;RETREG3;NM_178126;CCDS11432
ENST00000309534;CGGBP1;NM_003663;CCDS43111
ENST00000309579;ATP5MD;NM_001206426;CCDS7548
ENST00000309594;MRPL57;NM_024026;CCDS9296
ENST00000309859;GGA2;NM_015044;CCDS10611
ENST00000309971;GLE1;NM_001003722;CCDS35154
ENST00000309993;MSL2;NM_018133;CCDS33861
ENST00000310074;TADA2B;NM_152293;CCDS47007
ENST00000310092;RBM4;NM_002896;CCDS41676
ENST00000310137;RBM14;NM_006328;CCDS8147
ENST00000310144;PSMC5;NM_002805;CCDS11645
ENST00000310300;LRCH4;"NM_001289934; NM_002319";CCDS34706
ENST00000310331;EIF4EBP3;NM_003732;CCDS4226
ENST00000310430;TNKS;NM_003747;CCDS5974
ENST00000310512;MEPCE;NM_019606;CCDS5693
ENST00000310653;RAB6A;NM_002869;CCDS8223
ENST00000310847;ANKRD10;NM_001286721;CCDS66580
ENST00000310864;IQCB1;"NM_001319107; NM_001023570";CCDS33837
ENST00000310931;HDLBP;"NM_005336; NM_001320966";CCDS2547
ENST00000311086;BOD1;NM_138369;CCDS4389
ENST00000311111;RPL38;NM_000999;CCDS11696
ENST00000311128;DENND6A;NM_152678;CCDS33773
ENST00000311141;ZFYVE21;NM_024071;CCDS9985
ENST00000311181;B4GAT1;NM_006876;CCDS8136
ENST00000311212;ZNF706;NM_016096;CCDS6291
ENST00000311351;LSM1;NM_014462;CCDS6103
ENST00000311481;RAB1B;NM_030981;CCDS31613
ENST00000311502;RABL6;NM_024718;CCDS48058
ENST00000311549;RPL21;NM_000982;CCDS9320
ENST00000311672;UQCRH;"NM_001297565; NM_001297566; NM_006004";CCDS30704
ENST00000311772;PPP1R8;NM_014110;CCDS311
ENST00000311806;OXSR1;NM_005109;CCDS2675
ENST00000311893;ISCU;NM_213595;CCDS44966
ENST00000311936;KRAS;NM_004985;CCDS8702
ENST00000311956;ARHGAP1;NM_004308;CCDS7922
ENST00000312239;HP1BP3;NM_016287;CCDS30621
ENST00000312397;SART1;NM_005146;CCDS31611
ENST00000312469;H2AFY;NM_138609;CCDS4184
ENST00000312475;MRPL46;NM_022163;CCDS10341
ENST00000312515;DRAP1;NM_006442;CCDS8123
ENST00000312547;CHMP2A;NM_014453;CCDS12986
ENST00000312579;CCDC85B;NM_006848;CCDS8120
ENST00000312637;FAM174A;NM_198507;CCDS4090
ENST00000312726;GUK1;NM_000858;CCDS1568
ENST00000312865;MED25;NM_030973;CCDS33075
ENST00000312916;AGGF1;NM_018046;CCDS4035
ENST00000312960;SIAH2;NM_005067;CCDS3152
ENST00000313010;PRCP;"NM_005040; NM_001319214";CCDS8262
ENST00000313115;ATOX1;NM_004045;CCDS47317
ENST00000313143;DVL3;NM_004423;CCDS3253
ENST00000313269;GRINA;NM_000837;CCDS34961
