"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"ATP1A3",0.182935764238453,6.91807589865671,0.0190564897374117,0.892346904930531,0.976966853478592
"ALS2CL",-0.113122469076197,2.56044295706747,0.0190365210209531,0.892402938318612,0.976966853478592
"BCL6B",-0.0830879883830129,3.03967498420156,0.0190132641695842,0.892468236224234,0.976966853478592
"FAM129C",0.0803896669145705,-1.59085920103327,0.0190008936317366,0.892502985398061,0.976966853478592
"TFEB",0.052380301612084,4.26472145154638,0.0189961726297205,0.892516249862903,0.976966853478592
"PART1",0.111696903332927,-0.245272763133632,0.0189698426141907,0.892590259426057,0.976982060585408
"ENPP3",0.0988125190791195,-0.882028230722784,0.0189588246221735,0.892621244835493,0.976982060585408
"LASP1",0.033588714338785,7.7749790266817,0.0188890939330248,0.8928175587815,0.977147063364066
"UBE2R2",0.0257930926058103,6.69125540214165,0.0188647107900457,0.89288629226462,0.977149779426492
"BCAS1",-0.192611608715605,4.28356930402277,0.0188557447241792,0.892911578045372,0.977149779426492
"NRROS",0.0732055757868255,3.26522452376385,0.0188397441677805,0.892956717491572,0.977149779426492
"TRMU",-0.0438831204382895,5.2158764842488,0.0188178889239185,0.893018405309907,0.977167428043818
"TMEM266",0.12709305858028,0.797638546119803,0.0187680256439939,0.893159284551458,0.977218077035388
"SH2D3C",-0.0570247391635588,3.34378267984455,0.0187669515354212,0.893162321340924,0.977218077035388
"AC021016.3",-0.0629935872863156,-2.29138950025011,0.0187531395970927,0.893201379252226,0.977218077035388
"MPIG6B",0.12223230083043,-1.41061725023908,0.018706526027583,0.893333303272803,0.977312557439178
"HSH2D",0.137194508128445,-1.1651837684745,0.01866352960118,0.893455138931195,0.977313941190789
"KCNS3",-0.0967968486606463,1.15661408181818,0.0186138383437994,0.89359612368433,0.977313941190789
"MBLAC1",-0.0685242457279708,2.01147610093792,0.0186021110141486,0.893629424621026,0.977313941190789
"AC068987.5",0.137745837777788,-1.19940135450511,0.0185869024972903,0.893672626690743,0.977313941190789
"TCIRG1",-0.0859746562628629,4.76788819836962,0.0185509525263213,0.893774819697126,0.977313941190789
"RAB39B",-0.0566006872883883,4.41324943396323,0.0185450936277673,0.893791484034231,0.977313941190789
"PRR26",-0.0882633845315724,-0.621801721780542,0.0185373689737589,0.893813459202877,0.977313941190789
"PECAM1",0.0728523230248181,5.91839221532954,0.0185107035941978,0.893889353032821,0.977313941190789
"TAF5",0.0803502782041595,2.94287088775736,0.0184953671810326,0.893933028113022,0.977313941190789
"ARHGEF15",0.0855307898172339,2.12820532537489,0.0184918395944783,0.893943076596095,0.977313941190789
"ZNF300",0.0585942846555833,5.05043925615101,0.0184877890282688,0.893954616015091,0.977313941190789
"SNX1",0.0632839989699548,7.35069484265698,0.0184867503636132,0.893957575213204,0.977313941190789
"CC2D1A",0.034858153786078,5.47090215575846,0.018469677827753,0.894006227722118,0.977313941190789
"RASA4",0.104953412349294,6.60347046540532,0.0184568013324084,0.894042937725301,0.977313941190789
"KCND2",0.130219351385645,5.30155636344748,0.0184427499053901,0.894083012282787,0.977313941190789
"NRAP",0.174669913696084,0.0684488804966524,0.0184308389315613,0.894116994479027,0.977313941190789
"ASTE1",0.0419449226969298,3.16466466803764,0.0184291576476174,0.894121792110453,0.977313941190789
"YIPF6",-0.0356573827476039,6.30418574506293,0.0184176036153398,0.894154768182901,0.977313941190789
"TMEM133",-0.0406704263237203,3.26045551458734,0.0183784075399307,0.894266715377318,0.977336640034472
