"","gene","stranded_over_polya_logFC","average_logCPM","exact_test_pval","lrt_pval","qlft_pval","deseq2_nbwaldtest_pval","normalized_count_cv","s1_stranded_BS_HE0WJRW6","s2_stranded_BS_SHJA4MR0","s3_stranded_BS_FN07P04C","s4_stranded_BS_8QB4S4VA","s5_stranded_BS_KABQQA0T","s6_stranded_BS_D7XRFE0R","s1_polya_BS_HWGWYCY7","s2_polya_BS_X0XXN9BK","s3_polya_BS_W4H1D4Y6","s4_polya_BS_QKT3TJVK","s5_polya_BS_7WM3MNZ0","s6_polya_BS_68KX6A42"
"786","BTN2A2",0.0993577559143746,4.66386255848107,0.807433310457906,0.8065626612278,0.774746325205072,0.751002073688318,0.350213873133045,35.3795802108685,17.5707934968101,33.4076092871757,35.6759696067967,12.9099213966566,22.2198642585357,26.1258046560232,19.8899334767282,29.2000150630409,35.4929247992601,10.5316442187766,25.4298955977332
"787","DDHD2",0.204064227500226,5.85838945727149,0.56631937850997,0.564698296406764,0.497312068682266,0.499227762964042,0.350414894009233,102.198157848828,51.3211854392181,46.4605401732198,42.8048963398194,75.7493829481747,53.9492088850602,69.7024654689961,40.6574852706686,40.4403794283964,34.6460717827702,81.5378342584823,56.3762285984077
"788","LRRFIP1",-0.168528056097829,5.93942782997576,0.652508613833149,0.650895192615396,0.60258554264353,0.594898562951231,0.350419396231369,91.6827983551622,57.7624185263306,73.9760057126995,30.9285744417289,38.7465303216538,53.4830578866294,80.5686866193564,72.5199213703584,93.2464027713024,33.2620992251374,47.5629664784726,62.3300939254153
"789","TADA2A",-0.170612399418672,4.31480644049067,0.668722978927426,0.667156332345237,0.605185274429148,0.602878779007364,0.350647974819046,13.6635424785315,18.7533092903405,12.7146259818702,29.3931132992317,22.2151244812597,15.4295980480601,12.2101580045527,23.3798637690433,11.8883587035256,31.8370274178913,26.8841480574476,20.0792028877197
"790","JMJD6",-0.184520312220821,4.79638158457337,0.622439477556708,0.620954190610959,0.550659635134496,0.553529041635835,0.350771700703106,22.8296806929696,22.4399761760528,16.5487482291748,45.7034709455538,27.7814802003377,20.5883357640279,29.5993897398955,35.0628082465808,18.9793532174105,45.5516683214824,26.4939274210141,21.5063197871775
"791","TRUB2",-0.139616496515176,5.26950955941067,0.70490378093186,0.703524306613321,0.651019352981046,0.649560726539598,0.350901004675076,32.2528134367845,50.6951476661726,52.1835314688288,24.1286750963843,35.0579813511805,25.76261184661,43.1895414410701,43.1199872400309,68.2918799298091,23.5720576668379,35.4334714431418,28.8338017242957
"792","FOXN2",0.0873606902957551,5.43110320596438,0.813014450072775,0.811852583622342,0.778906531315075,0.742813851485353,0.351013526536102,21.0307189873322,78.8668474532197,33.7741062666974,36.6630517698306,56.5186299066616,39.638373233234,26.7476212931946,39.4788494605782,45.3298390035754,40.3249159249998,54.8568063112625,44.134419834859
"793","SLC35C1",0.0416942158209175,4.28752303896954,0.915555060241985,0.914573393004551,0.895817437570669,0.909422562182808,0.351085074735166,31.5889109025612,22.3147686214437,13.0529308860442,16.3573615588475,18.4092125889986,16.9523579762675,33.5984213548094,21.4653142553799,18.3140253370954,15.9185137089456,13.7604119163406,12.2532920762746
"794","CWF19L1",-0.102995733178592,4.30969317636289,0.791625948025289,0.790174209086599,0.744904698852491,0.76270496311388,0.351457486425346,15.9122446105783,16.5691330599373,22.2153553740881,31.5866292170849,11.1327114381558,17.1543567422542,20.1751144972406,16.1680212725385,19.1544395017039,34.9934795702629,13.9452532704407,18.6041614114523
"795","FAM122A",-0.00622227177547219,5.01758397540147,0.986880449311626,0.986235065127581,0.983668436399368,0.999999408778524,0.351494402736557,32.766802495538,21.9530579081285,55.6511567366116,30.1451758996385,25.7024798715254,27.5650623738758,29.959958164191,23.5335867226951,56.1501713729109,28.6950195670143,27.3154445503479,28.9273276643579
"796","TJP2",0.185850499580012,5.99641066814126,0.658812910572257,0.65696587070782,0.626478379195588,0.631367831646029,0.351883753407119,84.1014597385476,86.3932126802777,19.2551874625662,72.4173612308364,61.8837920455318,83.4254903525023,62.7552953012514,57.6880320613334,21.2729835416547,65.7587993813882,70.0548732039372,80.7084389791021
"797","PICK1",-0.0302058545189861,4.36587803176828,0.937932790267377,0.936704092610588,0.92282054277765,0.940905442580415,0.352114866159822,15.6124176596387,19.9775609354072,38.087493794915,14.2265175243616,18.3756803256307,15.9889792461771,14.3499677080083,31.88884849809,22.3287538359443,18.2077121303453,19.1577794560635,18.8742515818659
"798","HKR1",0.211496023807236,5.30500359292104,0.561136569299578,0.559703134197877,0.488142749027818,0.435827448409114,0.352389326420016,50.5208412333165,20.5062150548678,74.7653838224387,38.7312239209493,36.7345945195774,33.1433359884313,23.2730528408924,44.230286209816,44.4018816968201,34.9343621713625,38.3648499398871,34.4565759306291
"799","KNSTRN",-0.150143697456029,4.50492697258796,0.691686976392386,0.690240878820566,0.625119372160628,0.606352421532194,0.352496945389481,20.2169029776391,20.3114477476981,19.7344527434793,37.368110457712,17.118220449333,14.21760545214,25.0103370670435,16.5741293664587,20.1524313221766,39.8781849509415,23.1873209754457,18.326836090246
"800","FAM91A1",-0.110330453211783,6.10001274394549,0.778599598825384,0.777505772415879,0.749425823372173,0.736920124579533,0.353015781797371,96.9726024181674,77.9764826204439,57.0325684286552,28.5157069320905,74.4080924134571,60.7550134621502,111.324189843334,68.6853721655839,82.5314723451115,27.5329233931638,70.7098277352986,66.3270169068501
"801","DUSP22",0.0352395619061975,4.78298379556579,0.929048609747497,0.928433098914479,0.915487258611104,0.916074079551859,0.353246354919196,28.9761331872307,25.8484040515227,18.0147361472618,15.9656622878023,34.6555941907652,43.5540416200529,31.6316844950157,24.5677229563528,16.7382487784543,15.4717827348873,33.8670436567847,40.7093392761603
"802","NR2F6",0.000991911131497187,4.85307199514567,0.998233243590561,0.997991362228125,0.997616072208649,0.999999365084369,0.353381848240816,42.8110053520134,33.2634736744837,33.9432587187844,14.2421854952034,24.7803426289071,24.255390285017,39.9247582538126,28.1732249601861,44.4368989536788,14.757013176394,26.0420929998805,19.8402437789733
"803","HDAC3",-0.211590031127786,5.54553575820159,0.55889470192298,0.557117532574934,0.48907894477938,0.480541638249294,0.353724959404953,47.1156637190743,63.6749974939825,54.3261291952637,30.8815705292035,29.8772466608339,33.6871788199339,52.8724425807879,82.7100762197971,59.9320351136496,32.6113611062591,32.9633748145175,39.4599150250676
