Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_53GQKVEX	0.0173918595212183	0	0	0.0203389484013149	0	0.0839341151413459	0	0.0191308325456184	0.0263243258782035	0	0.0216762760660236	0.0338756920357597	0.0864991364556147	0	0	0.13602461696021	0	0.000200142930737621	0.0197746871027076	0	0	0.014829366961246	9999	0.0350947622074511	1.07226668120319	0.48
BS_53M8PP88	0	0.00168727794400042	0	0.0189785083986313	0	0.0631408259178299	0	0.0133883714180648	0	0	0.00423879012863206	0.00339560682297977	0.025842983963951	0.0304701964353399	0	0	0	0	0.030768712115179	0	0.0080887268553919	0	9999	-0.0342898146097881	1.10427884901833	0.2
BS_55JW3HFM	0.161968576238125	0	0.0373744639526937	0.339670044247521	0	0.358728791918453	0.0338959085296935	0	0.00778115478979318	0	0.111057387795059	0	0.368656378765105	0	0.0299498386901083	0.900668920425644	0	0	0	0.0202485346478036	0	0	9999	0.140514465722359	1.03051065192944	2.37
BS_55P8HPYD	0.000967502515707491	0.00133129638266749	0	0.0127553878543906	0	0.216837527016436	0	0.00970384599678785	0.00115080062489061	0	0.0251377851305881	0.0165252150820081	0.0436835937684552	0.0016459411118427	0.000186632521228221	0.0702477427369123	0	0.00171951897363934	0.0728806122754902	0	0.00128925310149068	0.00393734490746466	9999	-0.0145001578735211	1.10211579458526	0.48
BS_593HEWBF	0.00274907004060571	0.00167255930179649	0	0.0125898742587287	0	0.0688381876077545	0	0.0121900704921709	0	0	0	0.0357959325478836	0.0332177929164193	0	0	0.241276578942938	0	0.00226131651672269	0	0.204514185934375	0.00020807648940264	0.0346863549512028	9999	0.12539475060463	1.07691118536726	0.65
BS_5965SFPZ	0.000530439859888348	0.00214762372342347	0	0	0	0.112638336627613	0	0.00208499273273692	0.000162250232663323	0	0.00212599831982463	0.0196041935882183	0.0261363348135085	0.0115251155831084	0.0036221134431569	0.109545702682438	0	0	0.137354555575304	0	0	0.0125223428181164	9999	-0.0069827215492808	1.0928962092552	0.44
BS_59ZJWJTF	0	0.000898124364777069	0.000972231168160083	0	0	0.032053910582096	0	0	0	0	0.00558255008441416	0	0.00102570639056722	0.00542260574506574	0	0	0	0	0	0.00387623558805375	0.000168636076865961	0	9999	-0.016030264505161	1.14197397736566	0.05
BS_5AF6ZNJF	0.00211240532394827	0.000368868217774094	0	0.0429550105034325	0	0.0975026359844728	0	0.00327369872976952	0	0	0.0369442790049371	0	0.105612311399975	0	0.00164272646574641	0.481817891370476	0	0.00957381666434617	0	0.0414107594715929	0	0.05678559686353	9999	0.0637569487601196	1.08633798419	0.88
BS_5CMGN56B	0.000325274870069624	0.00422792080381726	0.000258810318042301	0.12391263786172	0	0.130292715826785	0	0.0144177669094227	0.00198977175824846	0	0.0113070049993432	0.0098761501444145	0.0465206484757416	0	0	0.375927492844277	0	0	0.101994339895055	0	0	0.0189494652930639	9999	0.0887682242169685	1.05427812811598	0.84
BS_5CTVXVRX	0.00719775841867616	0	0.0394697644426852	0.110319147410957	0	0	0.0790264318515349	0.037160737943679	0	0.0425100647462938	0	0.0157682603422342	0.103170727361616	0	0.0465765884996784	0.489012578316927	0	0	0.0480299438292846	0	0	0.021757996836434	9999	0.139145995303153	1.03229807338581	1.04
BS_5GNQC2FF	0	0.00035126982458766	0.000361053717015844	0	0	0.0230357026957695	0	0	0	0	0.00286942026099713	0	0.000675782788512309	0.00130000003453315	0	0.00021204812935846	0	0.000208892105126673	0	0.000984558731732515	1.27171236675019e-06	0	9999	-0.00252186694370157	1.16637895773654	0.03
BS_5JM573JC	0.0177292514673916	0	0	0	0.00545471444143164	0	0	0.0398819548938235	0	0	0	0.0147147093859129	0.0420562564125664	0	0	0.290331097987439	0	0	0	0.0798320154114352	0	0	9999	0.0429472115519322	1.11037108692869	0.49
BS_5K3R0F5D	0.0183960510146488	0.0399693657307808	0	0.0203038239246567	0	0.0450091833195582	0	0.0443100643678684	0	0	0	0.0436588267861979	0.0304392669834742	0	0	0.103156576551341	0	0.00121990464021696	0	0.172267161118844	0.0198272727381601	0.00144250282425282	9999	0.0396482878927677	1.10792359712327	0.54
BS_5NWDARXG	0.121590844560353	0	0.0442662326521676	0.1290934479482	0	0.188616479853119	0	0.0104503517397394	0	0	0.0365613198517782	0	0.126384039313571	0	0.0192356689727765	0.469325939294376	0	0	0	0	0	0.0144756758139189	9999	0.252703980666257	0.983063670791369	1.16
BS_5P1TN10Z	0.0278327633933618	0	0.00126103556226585	0	0.00776993789106865	0.0238021645947851	0	0.0144495038015948	0	0	0.023666477328615	0.0213525291330903	0.0179050858870478	0	0.0095552910857292	0.0685784044871072	0	0	0.0438268068353344	0	0	0	9999	-0.046509995834043	1.0962550406811	0.26
BS_5P3CZQV8	0.0104128269200543	0	0.00292894456453691	0.0073796195217953	0	0.0946997528505369	0	0.038073965877106	0.000202688099235528	0	0.0525528896444751	0.00271606820451768	0.026413451265266	0	0.00139839237740392	0.124369609387919	0.000327915732491147	0	0.0661835382269368	0	0	0.00234033732772529	9999	0.00378927935051061	1.07769154746495	0.43
BS_5PEFNDCY	0	0.00267799757521807	0	0.0426936538014275	0	0.216907519307957	0	0.0340217934808333	0.000138368012744985	0	0	0.0229926122753456	0.0467213158753216	0	0	0.0931195389908888	0	0	0.0441129561121136	0	0	0.016614244568149	9999	0.0272368615684753	1.09033366100003	0.52
