PC1	PC2	Kids_First_Biospecimen_ID
84117.73686245778	-43398.066091730405	BS_6MY8W3H0
-33977.681360761344	29876.39960696514	BS_HTEPAKCM
-7848.962751697761	-7598.101170984499	BS_E0N3PTPN
83489.0691637134	-22324.194208651	BS_46BZ2NNN
134182.77742800122	-49381.594970017504	BS_TK84K675
-8937.125265280943	31193.903169409892	BS_4GTESTSE
-95171.192455127	20397.151717772635	BS_FTKPQ5FZ
74282.75680254461	-2792.3933083722936	BS_MBSTWZA6
-54496.15876763014	-14435.933204917033	BS_JK0VPG1T
1725.945560342865	47457.254265544085	BS_AGTPCRR4
-21857.779981138854	-46028.51025800239	BS_850BAHH9
138188.2969885735	-49952.51104850367	BS_C7N3J4NW
-116263.71376475702	47380.53650707087	BS_10APZRVT
-45857.96525456949	-3389.365945737857	BS_FYRDYBMZ
61617.92666345329	-24532.327392377752	BS_6H1C1ME9
61212.13021962271	-8958.156468007677	BS_VP3C8WZT
77130.38281000519	15543.492363460502	BS_42DY6WS7
-29712.330981676987	78958.11812689876	BS_H4B5Y6S0
13403.032591676703	17917.74251329649	BS_V3Z3DB4N
56614.65423533121	-22988.302004953122	BS_699TN5RN
98316.36934070583	-37218.73310214198	BS_8Z3SCKB5
-137643.9117990687	69782.53678210362	BS_HKZENFDA
-30168.273259750214	106440.69117192562	BS_NKRYMHEP
10695.757426829548	37312.74008895075	BS_196BBNEJ
15005.375967218313	-16879.515692072404	BS_21RE8W46
68694.68522756062	1123.0431143224575	BS_8RHPJ740
60586.37282154799	-10644.190497502685	BS_5965SFPZ
82988.47774143424	-26244.116786265993	BS_M4TTKPNR
-111216.39750683075	6888.2906700321655	BS_YBJBSRHV
182580.6986238346	602.2540853612841	BS_G1Y281HX
80191.44065732585	15452.907231414221	BS_0Y66ZBWE
96050.37527405632	-4133.468705375326	BS_6R7SFVV2
-88773.45415457593	12659.999208989848	BS_99B1XRZQ
-43147.73149585185	-6033.836093157568	BS_9P9MB8X8
-76093.32168074517	56434.40112449874	BS_HHPA8NJ2
163543.98835534745	8042.049134522031	BS_Z28VKGNS
4140.812412753227	12624.32272345911	BS_1021ZGQT
-307894.24345780443	-76524.37117986452	BS_W1385R8Y
14312.116379834257	59534.710690590946	BS_SDCNP7MW
-14808.063653657819	-45493.12456670211	BS_GXTFW99H
96848.02190274616	10761.93560627047	BS_D5NQV7N5
-137358.29627550713	82820.54030517703	BS_8D0NYM46
-49409.50818689485	33669.38222654676	BS_G3RJTBZD
-78565.02534076874	-11122.481882160791	BS_GJNCYABP
110196.45355942629	-49181.1669972844	BS_4W1DBAN4
-76950.70819760975	38846.11396837317	BS_84XCR9GG
-304321.9306891955	-78912.5674400988	BS_XZM79E42
-50563.200300610784	24622.68598233935	BS_4CP4T22V
1565.7811431130979	28221.185891737707	BS_T1YHK6B7
72757.74385512041	752.0103324582791	BS_0C7VZC0A
78643.08084623366	7034.065634206694	BS_W18SF91A
7050.631590489137	7269.657475186061	BS_H3Y8FWHV
63908.709880078524	-14524.487484367533	BS_YY5B2XDD
45345.35963794564	4325.565736017495	BS_3X9WMZGJ
57224.25014182883	-18958.787443553094	BS_4BWB0FA0
-98040.43377368289	-2284.6630080797877	BS_J70GK8SM
-315966.58798273053	-91753.80351910647	BS_3AC3SRWH
-14242.655556128675	-13239.737994170539	BS_B24PKKQB
26985.948427699743	17453.964051611714	BS_KN92S7YQ
76896.805841886	-13263.76077876168	BS_13CGKADW
26716.572467694863	20992.000269154978	BS_NS7GSHB9
12897.91507515154	-25114.694043757347	BS_044XZ8ST
-25630.02210349311	11310.042952367285	BS_KP735TJ6
-43970.44674329906	14656.442381750137	BS_SQX5E15Z
72995.13338130794	-26819.092562841935	BS_NJ4WPQVK
49199.927845414764	-41732.358564827526	BS_3KASVCSQ
59546.24586903306	31524.842681940376	BS_VJAC9H58
51132.14089519936	-20288.68218026235	BS_07ANYSYQ
-200073.47289839998	100315.94389645624	BS_5VQP0E6K
-54339.51007013638	32521.208969421517	BS_4B0BAVTX
66299.267999196265	-3596.315787336784	BS_Z0AVVB1V
-81040.85465512729	-60843.74338014363	BS_15ETQ0E4
-48708.190449107526	33775.62353990134	BS_8SKZ7BRN
-53753.423166027445	17003.649719773864	BS_0HW7W7SD
-67058.9888491122	-41543.63535834067	BS_5GNQC2FF
111530.59581926485	-37957.75228195348	BS_WCRKYV0T
20202.79551897873	964.3937461840958	BS_P4NX9MPA
-69471.41833178878	8170.718049072599	BS_S5P8VTN5
180052.72907715873	-43823.67611599883	BS_398KYV92
124616.24501256357	-48346.57864676406	BS_M4NVX721
