	SAMPLE_ID	RAS_SCORE	TP53_SCORE	NF1_SCORE	RAS_SHUFFLE	TP53_SHUFFLE	NF1_SHUFFLE	sample_id	NF1	TP53	nf1_status	tp53_status	Kids_First_Biospecimen_ID	Kids_First_Participant_ID
135	7316-3169	0.5090599863591692	0.4211610135981888	0.5265199079449279	0.42094944660298783	0.49811146777204995	0.4830321918110789	7316-3169	0.0	0.0	0	0	BS_4HQ3T2NC	PT_6N1QWCXE
136	7316-1959	0.7014566126055539	0.9306832720547936	0.5417857859143215	0.5610398553769297	0.18229081838234615	0.4749904667674632	7316-1959	0.0	0.0	0	0	BS_4JWBB28H	PT_69C7CBFW
137	7316-1660	0.6853463644578567	0.4108800072948304	0.6109093007805929	0.6005365433349763	0.5462056578247506	0.4014958165866387	7316-1660	0.0	0.0	0	0	BS_4NF35AF6	PT_FAPEH6R1
138		0.43097209941853226	0.27485386628877245	0.4126618862742314	0.4578238552773608	0.4956233157144936	0.4763963140961661				0	0		
139		0.4091740227077918	0.7717108164339037	0.429996757701724	0.4828463466992039	0.601784228408711	0.520144872440113				0	0		
140	7316-47	0.5025259629857217	0.7304191141836244	0.42963281797607505	0.504591758986157	0.4290232104826001	0.3957282352742645	7316-47	1.0	1.0	1	1	BS_4SCWT0FX	PT_D3AN5M5W
141	7316-1944	0.4865183174925555	0.7032018685954766	0.5801807721152427	0.3738119235639599	0.5055900280105793	0.5200413188244364	7316-1944	0.0	0.0	0	0	BS_4T0HPZDC	PT_06H29FCG
142	7316-915	0.3155186226482625	0.6996949453533515	0.5755419259734381	0.5622920981294326	0.40755505968625216	0.5077504709840648	7316-915	0.0	0.0	0	0	BS_AJ6X83G5	PT_TRXF649Z
143	7316-1958	0.5355026735813538	0.4049220060451695	0.6726405967419694	0.4009109440232647	0.6150065926377296	0.35730432334523543	7316-1958	0.0	0.0	0	0	BS_4Y6BCYK5	PT_N9SG16EC
144	7316-1678	0.6454268128633341	0.08054325943274793	0.5753621292527041	0.5511031633282081	0.3585255031539896	0.4456924627978346	7316-1678	0.0	0.0	0	0	BS_4Z2F4P9N	PT_BWGZBVD1
145		0.4461870381597278	0.4666728646329365	0.5157661306596728	0.34063879845555245	0.6848893232299019	0.4915978905102453				0	0		
146	7316-2557	0.3833382414909704	0.7773319891457291	0.4340363235951399	0.3653330728234472	0.5065868688952729	0.4827117868855089	7316-2557	0.0	0.0	0	0	BS_5965SFPZ	PT_A325EYR2
147	7316-345	0.6053394616077138	0.39897583719312496	0.5498047500916221	0.34705293848662383	0.5259379014377961	0.687079320516523	7316-345	0.0	0.0	0	0	BS_52DAPP1Y	PT_WYF217NZ
148	7316-85	0.8533895394293337	0.3039896188613766	0.6696054299242293	0.6020685965639268	0.3303456025598208	0.6083635375849273	7316-85	0.0	0.0	0	0	BS_59ZJWJTF	PT_3AWKWXEV
149	7316-1792	0.4629987816344836	0.2279017027343893	0.3930776417388648	0.4439716467617405	0.5025152929737757	0.4559363397894606	7316-1792	0.0	0.0	0	0	BS_53CTGDQG	PT_3D74J8RZ
150	7316-487	0.6177040605964399	0.3599989572896673	0.657795558910437	0.30572673225381497	0.5316815608028834	0.31919491998117905	7316-487	0.0	0.0	0	0	BS_53GQKVEX	PT_GQZ84ACS
151	7316-1784	0.312877853796522	0.5568533234784395	0.4788183399510211	0.59467391931979	0.43819735550837857	0.6315863502350421	7316-1784	0.0	0.0	0	0	BS_53M8PP88	PT_NPETR8RY
152	7316-319	0.3493068033892873	0.9270737913686168	0.3217675940205592	0.17906531372796108	0.5415277700840445	0.570619541590712	7316-319	0.0	0.0	0	0	BS_4GTESTSE	PT_1ZAWNGWT
153	7316-1668	0.6201525834625469	0.4498139220210693	0.5620432723773008	0.4272966412497396	0.4669006657533861	0.5465761655040838	7316-1668	1.0	1.0	1	1	BS_55P8HPYD	PT_Q25V9Y6M
154		0.8444493332463022	0.10091245996194556	0.5451358662467826	0.5302489190114236	0.3824811061186809	0.5675336939765215				0	0		
155	7316-2176	0.3724868871704763	0.19357635853410524	0.5680863206102655	0.4514806691065437	0.6900256905716129	0.419191540288724	7316-2176	1.0	1.0	1	1	BS_5GNQC2FF	PT_VAJN5QP8
156	7316-158	0.3871920464430066	0.9397413919610949	0.28681942883936834	0.6348631083940519	0.14830625008504378	0.5049078431620075	7316-158	0.0	1.0	0	1	BS_5P1TN10Z	PT_9BZETM0M
157	7316-1702	0.5045666821734195	0.1336247128919487	0.3746143515727456	0.6242665954917954	0.4379039762539756	0.5651920441018771	7316-1702	1.0	1.0	1	1	BS_5AF6ZNJF	PT_02MVZZSW
158	7316-264	0.5484431522627441	0.22123762188732	0.5706322560192235	0.4030245853303424	0.7541154286857605	0.4825526155071537	7316-264	0.0	0.0	0	0	BS_5CMGN56B	PT_4ZSR5DY8
159	7316-1965	0.4695314744886531	0.2340377882299668	0.6019058631523779	0.7302336440039519	0.7028735773201598	0.5736251936675775	7316-1965	0.0	0.0	0	0	BS_55JW3HFM	PT_R10BSB9F
160		0.4739027407178214	0.4574501355498823	0.5769080176785797	0.6401064672322722	0.4190077330607775	0.40406422905635375				0	0		
161	7316-2255	0.3346468821330309	0.3842757457915439	0.4441531981270129	0.7362521208261179	0.4506441579893594	0.4922611765963678	7316-2255	0.0	0.0	0	0	BS_5JM573JC	PT_6Q0NPVP3
162	7316-32	0.39754353126986464	0.4686967284193345	0.50549570493361	0.6072787276313507	0.4967304282502128	0.5092701172156983	7316-32	1.0	1.0	1	1	BS_5NWDARXG	PT_EEKE0V9T
163		0.5645107856455017	0.9217335911854744	0.4406261014999194	0.603098344367014	0.4459951398429406	0.4531159854457679				0	0		
164	7316-3558	0.4222704594566772	0.27151747698491474	0.5748247369559996	0.5228666595612553	0.6747593767596106	0.5487925503988506	7316-3558	0.0	0.0	0	0	BS_5P3CZQV8	PT_MXASQ2GW
165	7316-1637	0.39998161245706493	0.5258992657868398	0.4687247275384034	0.4399804579402645	0.6814867260704289	0.4574418632063566	7316-1637	0.0	0.0	0	0	BS_5PEFNDCY	PT_VQDNSYXM
166	7316-2305	0.5385876305805509	0.4341300655826516	0.5713983453441184	0.4098711120548533	0.4877411204134955	0.3877588431660021	7316-2305	0.0	0.0	0	0	BS_5PV5N4HQ	PT_YRMG61G8
167	7316-452	0.3622744463228688	0.5101767389181745	0.5565089192437951	0.2932570576975675	0.6342482050876128	0.4792360744512264	7316-452	0.0	0.0	0	0	BS_5K3R0F5D	PT_A0F23R7E
168	7316-954	0.4421520643510897	0.4253024115720967	0.5508926174449859	0.44417296924904615	0.6875927270508593	0.5120697080682086	7316-954	1.0	1.0	1	1	BS_5YJEPPTP	PT_RFF7MKTC
169		0.6096202030209414	0.9735849719504268	0.6223974368610654	0.5026586683046812	0.5159234221555684	0.4676197195444216				0	0		
170	7316-121	0.5380438121937545	0.3761723250684837	0.5490909039223241	0.5973847552939869	0.27422067634382785	0.3847938919249681	7316-121	1.0	1.0	1	1	BS_66ABA973	PT_0K0DPVF6
171	7316-2291	0.5113205539386707	0.4378263340646112	0.5778616041339985	0.6777788543716236	0.6238364345496639	0.4128470101691339	7316-2291	0.0	0.0	0	0	BS_66HQ3E4Z	PT_AC5SD9AC
172	7316-3632	0.39015973093547146	0.4309481909362684	0.6035681951009753	0.4733457647081509	0.4261850288191791	0.31135545967384354	7316-3632	1.0	1.0	1	1	BS_67PX06P3	PT_WTMSD2WB
173	7316-3069	0.2092565526034436	0.6467836763084083	0.444144534601181	0.7035409924193391	0.4862277044186658	0.5137081145792654	7316-3069	0.0	0.0	0	0	BS_67Z63A2K	PT_NYBH025T
174	7316-2245	0.6032767738440925	0.5205453880222032	0.5462397328985787	0.5057636569983501	0.4320502546119378	0.5345253682726788	7316-2245	0.0	0.0	0	0	BS_68BW2163	PT_YZME6QCY
175		0.2992962034401745	0.8012520747674078	0.444005931667988	0.365009754637158	0.5218039255844262	0.4351026023178463				0	0		
176	7316-3067	0.34483484053312025	0.4996023449751069	0.6162364864282764	0.4335965330402844	0.4761185438150789	0.6043182815440248	7316-3067	0.0	0.0	0	0	BS_680K119G	PT_44HPG5YT
177	7316-209	0.4698408615756605	0.3563444531148071	0.5445252090459466	0.4882137513841919	0.8651485218443833	0.36217132921394735	7316-209	1.0	1.0	1	1	BS_69V8P8A0	PT_GBDYKSPY
178	7316-1763	0.4627020288678231	0.8841163979669481	0.5609845759012345	0.5862273418422681	0.23533711434214954	0.5001664496507403	7316-1763	1.0	1.0	1	1	BS_6WP1FHTE	PT_Z4PJA6KT
179	7316-2308	0.58614211573215	0.8854737509125079	0.6073319218607516	0.6314882085530678	0.6852083749227713	0.4606870257372949	7316-2308	1.0	1.0	1	1	BS_7327SDAQ	PT_7WT6P5M8
180	7316-2186	0.836816899791044	0.10123190414624547	0.43280807310522296	0.5573886315824237	0.5641785300147654	0.5006645184011823	7316-2186	0.0	0.0	0	0	BS_6G6C7VPX	PT_XTVQB9S4
181	7316-1793	0.7513812784778221	0.10446244132130156	0.677257092069833	0.4163791272096509	0.4774750238293114	0.5039864679523536	7316-1793	0.0	0.0	0	0	BS_699TN5RN	PT_JWW33RTB
182	7316-2558	0.4022975570644934	0.6816739743723552	0.5173840121558689	0.4104918069179493	0.7172911828004204	0.4932808171088344	7316-2558	0.0	0.0	0	0	BS_6H1C1ME9	PT_1MW98VR1
183	7316-2662	0.8429788742002552	0.6019916366828321	0.413662273009264	0.5635150778013711	0.5474825091162008	0.5619648021623381	7316-2662	1.0	0.0	1	0	BS_6HTK4YJP	PT_7F3ZPZB7
184	7316-2576	0.6877227855303941	0.7899334226177981	0.9423630554189948	0.8301312789262352	0.4907252864117202	0.6855556582079159	7316-2576	0.0	0.0	0	0	BS_6JHXXVR7	PT_9PJR0ZK7
185	7316-3893	0.3382799875729237	0.2450685835333981	0.397685605703171	0.3034690571396902	0.6779455699715801	0.4679526956374641	7316-3893	0.0	0.0	0	0	BS_6MZ7FRZH	PT_6BX46NVR
186	7316-516	0.5609772838337961	0.43450557806249396	0.5334824477853888	0.5069888664698063	0.5866317574408798	0.4890188993309332	7316-516	0.0	0.0	0	0	BS_6N3AFF66	PT_SBHN5F68
187	7316-464	0.4846129114506359	0.3270110039589749	0.32698129477762305	0.3710444590242229	0.6656877987940171	0.5354217532204103	7316-464	0.0	0.0	0	0	BS_6NRTJSYK	PT_98QMQZY7
188	7316-2154	0.36694089292256254	0.2204889753136392	0.6062998766738075	0.6163214181405328	0.4716931393164554	0.4329263992053441	7316-2154	0.0	0.0	0	0	BS_6P50QTPP	PT_2ECVKTTQ
189	7316-202	0.4752282523051816	0.4511366915101907	0.5817920190202331	0.4411260286859065	0.4629623417502441	0.5144374185120235	7316-202	0.0	0.0	0	0	BS_6R7SFVV2	PT_HQ89KPKT
190		0.3669557213424062	0.4934236126129791	0.3883938243604396	0.4128500937439623	0.33703687956846473	0.4608174482231899				0	0		
191	7316-2583	0.7407879610264515	0.4173934210401032	0.6913664828463848	0.3476622847628286	0.3772577509801334	0.5619041548540321	7316-2583	0.0	0.0	0	0	BS_6VF6VPCG	PT_3MNY9BRY
192		0.4743768475998933	0.9447847502614802	0.4167124450513893	0.4605016918791235	0.29418026394080776	0.5489098035975927				0	0		
193	7316-395	0.4921022495767298	0.3778576774011589	0.6156734445980641	0.4154234810234556	0.046644768545632716	0.4117770379266031	7316-395	0.0	0.0	0	0	BS_6NTXGQAC	PT_9AHA6KW3
194	7316-2673	0.6704574970670044	0.09382440901628147	0.36843457467343615	0.5896767056441498	0.2929195948417398	0.4809937625023051	7316-2673	0.0	0.0	0	0	BS_6YMJ621P	PT_0F3RHT8J
195	7316-1750	0.3856366292908175	0.6041527698400287	0.506450892786724	0.679947576956719	0.42750716460045	0.4006637042435428	7316-1750	1.0	1.0	1	1	BS_CQSAJ7BF	PT_GPQJYAW4
196	7316-3623	0.5120351987596641	0.16966877756396662	0.27390941584830625	0.5844667640679608	0.4594947662686172	0.3609421376411869	7316-3623	0.0	0.0	0	0	BS_70FFPA51	PT_BCWGRGDB
197	7316-2608	0.8063640748810504	0.17767517503428187	0.5163558283800976	0.6685211412384634	0.5163730168216346	0.4839745430906576	7316-2608	1.0	1.0	1	1	BS_742RHK1M	PT_1TB2V1PH
198	7316-2933	0.7857689142483468	0.3276078209259527	0.5045737144213311	0.5330757537450352	0.5308496208441239	0.43704098569757305	7316-2933	1.0	1.0	1	1	BS_74FS6GMW	PT_XTVQB9S4
199		0.28676563732549043	0.03060494083552685	0.4655736581289592	0.6218011038060298	0.19821684106797247	0.5065995438257103				0	0		
200	7316-917	0.4277077681848159	0.2833752417975965	0.6183033539802658	0.29059933107672725	0.3119314892494953	0.5929734811871475	7316-917	1.0	1.0	1	1	BS_769BDPDB	PT_2FVTD0WR
201	7316-3919	0.6223476996278048	0.4255129978545315	0.5857548301776593	0.4079398795710767	0.4397850175214584	0.4919946239903564	7316-3919	0.0	0.0	0	0	BS_775HDFNY	PT_GCKT4FJX
202	7316-3773	0.5813216915279694	0.375388079741592	0.5491635171551665	0.5805571128892754	0.5260354161522711	0.5913136506630357	7316-3773	0.0	0.0	0	0	BS_78QX3XDF	PT_Q38AT6JY
203		0.5657663988526351	0.20242746110850368	0.6617903470413633	0.3936343606298968	0.8904262395896223	0.3300855936218849				0	0		
204		0.6055123591412008	0.9872056813467744	0.5212827993989558	0.5561808183955188	0.2760601499411789	0.5238139364555071				0	0		
205	7316-2758	0.3918822686481984	0.7137540727796923	0.5241096353485003	0.5581360742057768	0.4898347227394412	0.5680415689500221	7316-2758	0.0	0.0	0	0	BS_7B89YR6K	PT_ZZWYKZZ8
206	7316-3574	0.3473901366685528	0.601200752602442	0.5731623225549229	0.3898328656466655	0.45449073044150107	0.560182852247446	7316-3574	0.0	0.0	0	0	BS_CREQ97QC	PT_BCN28SW9
207	7316-2757	0.3052833971635517	0.2892882788845469	0.4395266822291236	0.41139720312813655	0.3165782763037225	0.5525891449402406	7316-2757	0.0	0.0	0	0	BS_7BTZQKYY	PT_QZN7FZER
208	7316-1981	0.6141764586214876	0.5658448435399941	0.5000127076583054	0.4212865654022586	0.5271017824624911	0.5356533054590166	7316-1981	0.0	0.0	0	0	BS_7BW0YRPY	PT_0T2EWNYR
209	7316-659	0.4170319226473729	0.14004611608561704	0.39638799003103015	0.4106393578511486	0.12519601521331974	0.4515929494417871	7316-659	0.0	0.0	0	0	BS_7G42J2SK	PT_BWN251DF
