"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"MRPS36P1",-7.65508355508813,1.39968769502325,87.1523477758971,1.57113279204201e-08,1.1451369271839e-05
"RAB11FIP1P1",-7.20021924681084,1.02539987070599,86.6431262528442,1.64535277165321e-08,1.1451369271839e-05
"PFN1P1",-9.00092693345606,1.52923006471835,86.577937725367,1.65513076942843e-08,1.1451369271839e-05
"SEPT2P1",-8.6533926643446,1.53607952192375,83.5611010552978,2.18632310808467e-08,1.46538306319375e-05
"SNRPGP15",-6.41394360980442,1.07212501615588,82.5222611731841,2.41087548850248e-08,1.56292641403894e-05
"AC008635.1",-7.49663443995398,1.46362455721708,82.1848273397781,2.48920935715412e-08,1.56292641403894e-05
"AC211433.1",-7.5874122028673,1.38394309895362,81.9290286553904,2.55046738583379e-08,1.56292641403894e-05
"RN7SK",8.5797203509755,1.623890399475,80.9886202824458,2.79042567434222e-08,1.66247360731367e-05
"AC099518.5",-7.72134852466932,1.33646288683667,80.6466894622568,2.88377602500391e-08,1.67165481579146e-05
"AC021224.1",-8.87235604699271,1.49691522854966,79.079500314224,3.35818574840825e-08,1.89543073504895e-05
"AC010300.1",-8.58290267746644,1.63768329604412,77.7681183648969,3.82190575334385e-08,2.09218950692473e-05
"HIST1H4B",8.15117606816749,1.47033045580652,77.5598093752107,3.90188270593944e-08,2.09218950692473e-05
"RPS28P7",-5.36101926614833,0.950545586191275,77.2468163491972,4.02555235399092e-08,2.10585480215603e-05
"FERP1",-7.48802736672163,1.47384038633454,75.7789776168059,4.66636421097926e-08,2.3206776225997e-05
"AC025259.1",-8.3527744496059,1.54678245759559,75.7304533224859,4.68939260782266e-08,2.3206776225997e-05
"TMSB4XP6",-10.2757135431818,1.84623024160968,75.5816285684293,4.76080825225601e-08,2.3206776225997e-05
"AC015674.1",-8.37068519520482,1.52409458530083,74.9516349279672,5.07672736572527e-08,2.41968107866835e-05
"AC007560.1",-7.7333669585194,1.59608465273531,74.5197146386632,5.30669309262721e-08,2.47430333588409e-05
"HIST1H4E",7.45866906123464,1.68036631463139,74.2238923603499,5.4708350629148e-08,2.49656320062546e-05
"CICP27",-7.00864384146447,1.21030533586776,73.9562681631926,5.62417664960972e-08,2.51306959960061e-05
"SPATA46",-7.13436819936691,1.48762801161658,73.4893563720784,5.90321108496839e-08,2.56736876793029e-05
"AC092171.2",-7.06812605904175,1.32561265714463,73.3569488246108,5.98510063392925e-08,2.56736876793029e-05
"DSTNP1",-7.48959319440828,1.53396554633565,72.6047609141266,6.47480759009414e-08,2.72297398416351e-05
"AC083873.1",-5.70513538501348,1.13951050414055,72.1534913489265,6.78976934007926e-08,2.80051870780808e-05
"AC024267.6",-5.14002462780435,1.27775318481434,71.8431060594703,7.01622345019182e-08,2.83932001056065e-05
"AC008764.2",-7.84582287215941,1.5765537308991,71.5043748447757,7.27293216726073e-08,2.88870090969274e-05
"AC010976.1",-6.52082505067281,1.24038858454204,68.9197266701575,9.6112513023453e-08,3.74702046554553e-05
"AP001020.3",-7.32799321272583,1.63763093351252,68.7577480805208,9.7833432520771e-08,3.74702046554553e-05
"AL121748.2",-7.23952103644635,1.60920283220486,68.0191811489693,1.0612418578217e-07,3.9791668986121e-05
"TMX2P1",-4.47447709120955,1.15186289168785,67.8939762552267,1.07605221987832e-07,3.9791668986121e-05
