"","gene","stranded_over_polya_logFC","average_logCPM","exact_test_pval","lrt_pval","qlft_pval","normalized_count_cv","s1_stranded_BS_HE0WJRW6","s2_stranded_BS_SHJA4MR0","s3_stranded_BS_FN07P04C","s4_stranded_BS_8QB4S4VA","s5_stranded_BS_KABQQA0T","s6_stranded_BS_D7XRFE0R","s1_polya_BS_HWGWYCY7","s2_polya_BS_X0XXN9BK","s3_polya_BS_W4H1D4Y6","s4_polya_BS_QKT3TJVK","s5_polya_BS_7WM3MNZ0","s6_polya_BS_68KX6A42"
"1042","USP45",0.461501320009303,0.958661828479274,0.260525407542799,0.2541626849269,0.341335110064251,0.36205396570591,125.156029873958,68.224080463156,105.947159707536,84.0952481841425,180.5204943844,132.553075038652,94.0528402924641,84.5833906746217,65.7502056477775,81.0136650474111,179.627494875324,151.6768192037
"1043","ALDOA",0.0706626963492511,0.847885542217942,0.864236449371122,0.861352365756302,0.880197118723105,0.362104470505283,115.63687353584,109.394527132392,114.086615883026,60.5181502809376,94.406334052614,70.0920374736141,161.64164043954,102.961908547165,183.907927297062,74.9724018808798,97.0380914528351,63.8305011233954
"1044","RHBDD2",0.149851220127246,0.804529952089418,0.715785790019317,0.711060401429386,0.725360964013155,0.362132154947817,161.402890606904,100.589745250874,67.9178356589375,102.889874596773,50.6579665381653,99.410254749126,180.53808522369,81.4681597754477,112.605392470539,128.391259482269,69.1811764647178,98.757316555113
"1045","PRDM4",0.495454937452835,1.17579467428958,0.223388320144075,0.219885955731359,0.374422322187183,0.362357197868656,215.557416037685,98.1666754736419,172.557895808342,113.495796190316,99.4174465231243,80.4005091087346,166.045421836025,99.5861584259559,190.370545309462,100.137047457303,99.8629525426966,86.6472952604459
"1046","GHDC",-0.176420596882323,0.87246973180971,0.673801208730784,0.662795377069472,0.688612019435163,0.362493957611705,78.4942996709215,99.0444176345394,118.211735353829,54.2648732352884,75.2496469153762,100.955582365461,143.436895314874,134.385804921558,205.381483550062,84.1753719092398,98.5717529127226,119.267995837433
"1047","WDR45B",-0.340783137764669,0.869009654249423,0.403245072653588,0.399770256272342,0.40799447821596,0.362519433834314,65.3961035308572,79.7571275257276,62.6847977688461,134.385319209962,91.059752930128,94.0402764479146,92.784483002713,117.485393007104,105.959723552085,203.18145534733,148.248085472361,144.194157343938
"1048","GMPPB",0.305053647245873,0.916869704699086,0.455787683824357,0.450512597065773,0.50873346889417,0.362541371424201,178.556147113019,119.076094754947,105.891726380685,88.8476882002954,59.0219336281296,93.1758268827676,132.83058156744,193.950629796325,105.000645489792,94.9993545102076,69.2827753541074,93.3409640447637
"1049","ZBTB48",0.0728636931699253,0.896886377937983,0.860517472635142,0.856928231559083,0.873068993396922,0.36266662487452,163.665778217664,73.0745161082678,83.2465942314481,82.7250348630658,88.5956132457763,95.7498176972168,116.715161008012,205.076596144559,67.8080589972906,119.743676852538,114.357900757699,104.250182302783
"1050","YPEL5",-0.184647661664768,0.855993564105167,0.658806249696749,0.648190563507722,0.674315836056679,0.362726752980464,73.2154907302352,56.425310621532,102.213557296679,73.6842687859826,97.2416092385858,115.549799209165,154.572402174005,62.942071797515,169.540023379748,97.7864427033211,137.697079826941,161.022977075637
"1051","CCNJ",0.211520254455873,0.879799074290683,0.604106136426794,0.600736878821748,0.625143681363391,0.362918451366946,95.29432384184,73.7743486070362,79.0180634527183,164.218799299277,98.9704189257569,124.425156796818,93.1916843995234,54.8685391934011,105.425021122524,196.835359180382,101.029581074243,142.902901953624
"1052","FBXO17",0.261565728181006,0.884613022200239,0.520961917002016,0.517969371146811,0.575611004419083,0.362920543231945,105.133743799173,51.5703359098418,132.457851881366,75.69601893359,90.0936396303443,146.023407944656,57.1740607682111,94.866256200827,132.272153414724,92.3381932026187,139.331825560469,184.653824732754
"1053","ACTR3B",0.172479322673311,0.895117481851583,0.675067060033879,0.669687481928951,0.721012031188924,0.363015687783392,97.1139134872524,94.0894869181313,112.987050686598,149.483756949777,93.0096786882442,68.8172951629955,57.1987799519998,117.254672612758,136.633050203759,193.397514810968,102.886086512748,62.9534220638419
"1054","NICN1",0.356283487860462,0.818668114764377,0.381028694110336,0.378851429261408,0.387908004565339,0.363033155528849,58.0182467427128,142.837997454452,122.153258578957,85.8349278815527,85.3440688003906,139.341625292892,54.2033906059991,168.73592577171,71.676178563642,101.523050980774,98.4769490192262,160.902073185897
"1055","CHEK2",0.0853290534946705,0.820157736894539,0.835991896459627,0.832921856476415,0.844303760956968,0.363157815189567,154.569019412757,90.1545997946553,84.6949853320829,109.845400205345,46.0067698494193,79.303799321839,178.876793534413,127.218329088139,84.2699389787784,136.78367511345,65.917498322427,110.237149117485
"1056","AC131009.3",0.10925107971446,0.86857625158624,0.784182206559529,0.787192343998192,0.823374490060344,0.363164824643373,129.427714997368,78.1742847048345,140.949127015695,65.7874474563382,53.9438368653485,86.9406314418467,142.418083269193,162.922478527962,59.1615513302973,81.9032985537343,142.179467020498,113.059368558153
