"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"SF3B2",-0.330282576600135,4.69601405260397,1.44852172609079,0.235846762276547,0.413568103588264
"MKRN2",-0.34773051767786,4.72809275672852,1.44694263112248,0.23609778870416,0.413568103588264
"NDUFB10",-0.356183627665832,4.7628433935828,1.4455282047119,0.236322920932893,0.413568103588264
"TELO2",-0.373855542924315,4.62796193516479,1.44517163452773,0.236379717948351,0.413568103588264
"TMEM203",-0.353626317358326,4.59232033272495,1.44367354775121,0.23661852990426,0.413648530272728
"HP1BP3",-0.353753047966294,4.76891656571198,1.44047960089196,0.237128686930009,0.414202795981164
"CSNK2B",-0.30983710404545,4.65609888490015,1.43341656262958,0.238261723366312,0.415622878552013
"TRAK2",0.370787865317263,4.82353624607118,1.43299723654788,0.23832920308577,0.415622878552013
"AKAP10",0.296383900769899,4.68406979585142,1.4316231221072,0.23855049875589,0.415670852828095
"EPM2AIP1",0.363383365141508,4.69976811825095,1.42576115848778,0.239497434236899,0.416936243437947
"KIAA0319L",0.321892903196055,4.76206036972318,1.42472409684439,0.23966544902517,0.416936243437947
"PREB",-0.347313867830317,4.75294859843588,1.42220770445007,0.240073744077099,0.417308088367405
"KDELR2",-0.369359026021053,4.63936628728931,1.41706473817566,0.240910922288679,0.41816438365625
"MAN1A2",0.423897789177476,4.81473559630912,1.41587506432418,0.241105099019748,0.41816438365625
"RPL41",-0.699714802773181,5.28155780903169,1.41506850586439,0.241236855726993,0.41816438365625
"PRPS1",-0.398137381180574,4.68094012649705,1.41439982797553,0.24134615709391,0.41816438365625
"MED25",0.35555096774562,4.80200336489877,1.40899831750124,0.24223136075465,0.419359377577662
"POLR2I",-0.374543949279272,4.80473778471256,1.40502576158372,0.242884984202917,0.420151847673594
"ZFPL1",-0.358043747258384,4.76649310780116,1.40290673630871,0.243234542017083,0.420177775366721
"ZNF22",-0.550781879419076,4.94548287733506,1.40256032333489,0.243291746855696,0.420177775366721
"LSM14B",-0.302153710783405,4.66420763293408,1.39766575628376,0.244101817464662,0.42123764960716
"LDB1",0.468217291232834,4.95429846345286,1.38941091667653,0.245475714237555,0.423087376126668
"UBL3",-0.515383115895149,4.90769365430569,1.38718350462839,0.245848097762863,0.423087376126668
"PRDX6",-0.401986338965351,4.60398265805583,1.38686293202711,0.24590175022021,0.423087376126668
